usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
0.929,22.601,76.161,0.0,0.0,0.31,125886464.0,20713472.0,263053312.0,3604611072.0,1952.0,15379.0,0.0,0.0,0.0,0.0,1182.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57547.0,142014.0,2.0,0.0,5.0
2.121,23.03,74.848,0.0,0.0,0.0,126177280.0,20713472.0,263053312.0,3604320256.0,1952.0,15379.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,55764.0,140089.0,5.0,0.0,5.0
1.286,17.685,81.029,0.0,0.0,0.0,126287872.0,20713472.0,263053312.0,3604209664.0,1952.0,15379.0,0.0,0.0,0.0,0.0,1182.0,20249.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,52851.0,137121.0,1.0,0.0,5.0
2.961,18.421,78.618,0.0,0.0,0.0,126300160.0,20713472.0,263057408.0,3604193280.0,1952.0,15379.0,0.0,0.0,0.0,0.0,1254.0,19403.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57309.0,140478.0,2.0,0.0,5.0
0.984,19.672,79.016,0.328,0.0,0.0,126283776.0,20721664.0,263049216.0,3604209664.0,1952.0,15395.0,0.0,73728.0,0.0,4.0,1342.0,18979.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,57779.0,141704.0,6.0,0.0,10.0
1.52,24.012,74.164,0.0,0.0,0.304,126050304.0,20721664.0,263057408.0,3604434944.0,1984.0,15395.0,0.0,0.0,0.0,0.0,1322.0,20923.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,58026.0,142125.0,3.0,0.0,5.0
6.706,22.741,70.554,0.0,0.0,0.0,126189568.0,20721664.0,263057408.0,3604295680.0,1984.0,15395.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,46698.0,129792.0,2.0,0.0,5.0
0.297,19.881,79.822,0.0,0.0,0.0,126640128.0,20721664.0,263065600.0,3603836928.0,1984.0,15393.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,43650.0,126136.0,1.0,0.0,2.0
9.366,19.335,70.997,0.0,0.0,0.302,126173184.0,20721664.0,263065600.0,3604303872.0,2016.0,15397.0,0.0,0.0,0.0,0.0,1436.0,20322.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,42899.0,124437.0,5.0,0.0,16.0
1.333,26.667,71.733,0.0,0.0,0.267,126140416.0,20721664.0,263065600.0,3604336640.0,2016.0,15395.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,9.0,0.0,1.0,0.0,176.0,15.0,12.0,0.0,0.0,43593.0,126087.0,1.0,0.0,5.0
