[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
21-08 15:15:39|  6  20  73   1   0   0| 120M 19.8M  251M 3438M| 1952  15379 |2935k 7553B|  65     1 |   0     0 |  9   9   0   1   0|176  15  12   0   0|  41k  107k|0.0   0  10
21-08 15:15:40|  1  23  76   0   0   0| 120M 19.8M  251M 3438M| 1952  15379 |   0     0 |   0     0 |1182B   19k|  9   9   0   1   0|176  15  12   0   0|  58k  142k|2.0   0 5.0
21-08 15:15:41|  2  23  75   0   0   0| 120M 19.8M  251M 3437M| 1952  15379 |   0     0 |   0     0 |1188B   19k|  9   9   0   1   0|176  15  12   0   0|  56k  140k|5.0   0 5.0
21-08 15:15:42|  1  18  81   0   0   0| 120M 19.8M  251M 3437M| 1952  15379 |   0     0 |   0     0 |1182B   20k|  9   9   0   1   0|176  15  12   0   0|  53k  137k|1.0   0 5.0
21-08 15:15:43|  3  18  79   0   0   0| 120M 19.8M  251M 3437M| 1952  15379 |   0     0 |   0     0 |1254B   19k|  9   9   0   1   0|176  15  12   0   0|  57k  140k|2.0   0 5.0
21-08 15:15:44|  1  20  79   0   0   0| 120M 19.8M  251M 3437M| 1952  15395 |   0    72k|   0     4 |1342B   19k|  9   9   0   1   0|176  15  12   0   0|  58k  142k|6.0   0  10
21-08 15:15:45|  2  24  74   0   0   0| 120M 19.8M  251M 3437M| 1984  15395 |   0     0 |   0     0 |1322B   20k|  9   9   0   1   0|176  15  12   0   0|  58k  142k|3.0   0 5.0
21-08 15:15:46|  7  23  71   0   0   0| 120M 19.8M  251M 3437M| 1984  15395 |   0     0 |   0     0 |1248B   18k|  9   9   0   1   0|176  15  12   0   0|  47k  130k|2.0   0 5.0
21-08 15:15:47|  0  20  80   0   0   0| 121M 19.8M  251M 3437M| 1984  15393 |   0     0 |   0     0 |1122B   18k|  9   9   0   1   0|176  15  12   0   0|  44k  126k|1.0   0 2.0
21-08 15:15:48|  9  19  71   0   0   0| 120M 19.8M  251M 3437M| 2016  15397 |   0     0 |   0     0 |1436B   20k|  9   9   0   1   0|176  15  12   0   0|  43k  124k|5.0   0  16
21-08 15:15:49|  1  27  72   0   0   0| 120M 19.8M  251M 3437M| 2016  15395 |   0     0 |   0     0 |1188B   19k|  9   9   0   1   0|176  15  12   0   0|  44k  126k|1.0   0 5.0
21-08 15:15:50|  1  17  82   0   0   0| 120M 19.8M  251M 3437M| 2016  15395 |   0    24k|   0     4 |1248B   18k|  9   9   0   1   0|176  15  12   0   0|  44k  126k|2.0   0 5.0
21-08 15:15:51|  0  17  82   0   0   1| 120M 19.8M  251M 3437M| 2016  15395 |   0     0 |   0     0 |1122B   19k|  9   9   0   1   0|176  15  12   0   0|  44k  127k|4.0   0 5.0
21-08 15:15:52|  2  19  79   0   0   0| 120M 19.8M  251M 3437M| 2016  15395 |   0     0 |   0     0 |1248B   19k|  9   9   0   1   0|176  15  12   0   0|  44k  127k|2.0   0 5.0
21-08 15:15:53|  0  16  83   0   0   0| 120M 19.8M  251M 3437M| 2016  15395 |   0     0 |   0     0 |1188B   20k|  9   9   0   1   0|176  15  12   0   0|  39k  122k|5.0   0 5.0
21-08 15:15:54|  1  19  80   0   0   1| 120M 19.8M  251M 3437M| 2016  15403 |   0     0 |   0     0 |1481B   19k|  9   9   0   1   0|176  15  12   0   0|  44k  126k|2.0   0  10
21-08 15:15:55|  3  17  80   0   0   0| 120M 19.8M  251M 3437M| 2016  15400 |   0    24k|   0     4 |1212B   19k|  9   9   0   1   0|176  15  12   0   0|  44k  126k|1.0   0 9.0
21-08 15:15:56|  1  19  80   0   0   0| 120M 19.8M  251M 3437M| 2016  15400 |   0     0 |   0     0 |1435B   20k|  9   9   0   1   0|176  15  12   0   0|  44k  126k|3.0   0 9.0
21-08 15:15:57|  7  18  75   0   0   0| 120M 19.8M  251M 3437M| 1984  15397 |  16k   24k|   4     4 |1248B   18k|  9   9   0   1   0|176  15  12   0   0|  41k  124k|3.0   0 7.0
21-08 15:15:58| 10  23  67   0   0   0| 121M 19.8M  251M 3437M| 2048  15394 |   0     0 |   0     0 |1362B   19k|  9   9   0   1   0|176  15  12   0   0|  46k  128k|5.0   0  21
21-08 15:15:59|  2  22  76   0   0   0| 121M 19.8M  251M 3437M| 2016  15394 |   0     0 |   0     0 |1212B   19k|  9   9   0   1   0|176  15  12   0   0|  57k  141k|4.0   0 9.0
21-08 15:16:00|  3  18  78   0   0   0| 121M 19.8M  251M 3437M| 2016  15394 |   0    40k|   0     4 |1788B   21k|  9   9   0   1   0|176  15  12   0   0|  48k  131k|1.0   0 6.0
21-08 15:16:01|  2  19  79   0   0   0| 121M 19.8M  251M 3437M| 2016  15394 |   0     0 |   0     0 |1188B   19k|  9   9   0   1   0|176  15  12   0   0|  50k  135k|2.0   0 5.0
21-08 15:16:02|  3  19  78   0   0   0| 121M 19.8M  251M 3437M| 2016  15394 |   0     0 |   0     0 |1417B   19k|  9   9   0   1   0|176  15  12   0   0|  58k  141k|2.0   0 9.0
21-08 15:16:03|  3  22  75   0   0   0| 121M 19.8M  251M 3437M| 2016  15394 |   0     0 |   0     0 |1122B   20k|  9   9   0   1   0|176  15  12   0   0|  55k  139k|4.0   0 5.0
21-08 15:16:04|  3  20  77   0   0   0| 120M 19.8M  251M 3437M| 2016  15402 |   0     0 |   0     0 |1314B   19k|  9   9   0   1   0|176  15  12   0   0|  58k  143k|4.0   0  10
21-08 15:16:05|  2  25  73   0   0   0| 121M 19.8M  251M 3437M| 2016  15399 |   0    24k|   0     4 |1188B   18k|  9   9   0   1   0|176  15  12   0   0|  59k  143k|3.0   0 5.0
21-08 15:16:06|  2  18  80   0   0   0| 121M 19.8M  251M 3437M| 2016  15399 |   0     0 |   0     0 |1248B   20k|  9   9   0   1   0|176  15  12   0   0|  59k  143k|4.0   0 5.0
21-08 15:16:07|  2  22  77   0   0   0| 121M 19.8M  251M 3437M| 2016  15395 |   0     0 |   0     0 |1188B   18k|  9   9   0   1   0|176  15  12   0   0|  52k  137k|5.0   0 5.0
21-08 15:16:08| 15  20  65   0   0   0| 119M 19.8M  251M 3438M| 1888  15390 |   0     0 |   0     0 |1304B   16k|  9   9   0   1   0|176  15  12   0   0|  49k  128k|4.0   0  18
21-08 15:16:09|  3  18  79   0   0   0| 120M 19.8M  251M 3438M| 1856  15390 |   0     0 |   0     0 |1254B   19k|  9   9   0   1   0|176  15  12   0   0|  37k  122k|4.0   0 5.0
21-08 15:16:10|  2  17  81   0   0   0| 120M 19.8M  251M 3437M| 1824  15390 |   0    24k|   0     4 |1248B   19k|  9   9   0   1   0|176  15  12   0   0|  30k  114k|  0   0 5.0
21-08 15:16:11|  2  15  83   0   0   0| 120M 19.8M  251M 3437M| 1760  15390 |   0     0 |   0     0 |1188B   19k|  9   9   0   1   0|176  15  12   0   0|  33k  121k|3.0   0 5.0
21-08 15:16:12|  1  14  85   0   0   0| 121M 19.8M  251M 3437M| 1696  15390 |   0     0 |   0     0 |1248B   20k|  9   9   0   1   0|176  15  12   0   0|  47k  139k|3.0   0 5.0
21-08 15:16:13|  2  15  83   0   0   0| 121M 19.8M  251M 3437M| 1632  15390 |   0   168k|   0    20 |1266B   18k|  9   9   0   1   0|176  15  12   0   0|  47k  138k|6.0   0  18
21-08 15:16:14|  3  18  79   0   0   0| 121M 19.8M  251M 3437M| 1952  15400 |   0     0 |   0     0 |3682B   21k|  9   9   0   2   0|176  15  12   0   0|  31k  115k|2.0   0  19
21-08 15:16:15|  1  20  80   0   0   0| 121M 19.8M  251M 3437M| 1952  15397 |   0    48k|   0     4 |1188B   20k|  9   9   0   2   0|176  15  12   0   0|  34k  116k|  0   0 5.0
21-08 15:16:16|  2  20  78   0   0   0| 121M 19.8M  251M 3437M| 1984  15397 |   0     0 |   0     0 |1345B   18k|  9   9   0   2   0|176  15  12   0   0|  43k  127k|5.0   0 5.0
21-08 15:16:17|  1  20  78   0   0   0| 120M 19.8M  251M 3437M| 1984  15397 |   0     0 |   0     0 |1122B   18k|  9   9   0   2   0|176  15  12   0   0|  48k  131k|1.0   0 5.0
21-08 15:16:18|  9  20  71   0   0   0| 121M 19.8M  251M 3437M| 2016  15394 |   0     0 |   0     0 |1446B   20k|  9   9   0   2   0|176  15  12   0   0|  54k  135k|5.0   0  13
21-08 15:16:19|  4  19  77   0   0   0| 119M 19.8M  251M 3439M| 2016  15376 |   0     0 |   0     0 |1122B   18k|  9   9   0   1   0|176  15  12   0   0|  58k  143k|3.0 1.0 5.0
21-08 15:16:20|  6  23  71   0   0   0| 121M 19.8M  251M 3437M| 1984  15392 |   0    24k|   0     4 |1248B   19k|  9   9   0   1   0|176  15  12   0   0|  44k  127k|4.0   0 7.0
