usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
2.128,16.413,81.459,0.0,0.0,0.0,134111232.0,22032384.0,263094272.0,3595026432.0,2144.0,15326.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,43249.0,127136.0,3.0,0.0,5.0
1.205,19.578,79.217,0.0,0.0,0.0,134410240.0,22032384.0,263094272.0,3594727424.0,2176.0,15344.0,0.0,0.0,0.0,0.0,1254.0,20857.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,43697.0,127349.0,4.0,0.0,10.0
2.041,22.449,75.219,0.0,0.0,0.292,134385664.0,22032384.0,263094272.0,3594752000.0,2176.0,15344.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,50805.0,135293.0,1.0,0.0,5.0
0.608,22.796,76.596,0.0,0.0,0.0,134074368.0,22032384.0,263098368.0,3595059200.0,2176.0,15345.0,0.0,0.0,0.0,0.0,1188.0,20857.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,58814.0,143620.0,8.0,0.0,3.0
15.644,18.712,65.644,0.0,0.0,0.0,134348800.0,22040576.0,263106560.0,3594768384.0,2144.0,15337.0,0.0,196608.0,0.0,22.0,1236.0,17698.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,42550.0,120643.0,4.0,0.0,12.0
2.228,23.398,74.373,0.0,0.0,0.0,134348800.0,22040576.0,263106560.0,3594768384.0,2144.0,15337.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,43578.0,127331.0,4.0,0.0,5.0
1.458,20.7,77.843,0.0,0.0,0.0,134344704.0,22040576.0,263110656.0,3594768384.0,2144.0,15337.0,0.0,0.0,0.0,0.0,1182.0,20249.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,43605.0,127456.0,3.0,0.0,5.0
2.319,15.942,81.739,0.0,0.0,0.0,134344704.0,22040576.0,263110656.0,3594768384.0,2144.0,15337.0,0.0,0.0,0.0,0.0,1254.0,19403.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,30104.0,113370.0,5.0,0.0,5.0
1.238,15.17,83.282,0.0,0.0,0.31,134311936.0,22040576.0,263110656.0,3594801152.0,2144.0,15337.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,42329.0,125932.0,4.0,0.0,5.0
2.071,18.639,78.994,0.296,0.0,0.0,134332416.0,22048768.0,263114752.0,3594768384.0,2144.0,15337.0,0.0,49152.0,0.0,4.0,1291.0,19892.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,43542.0,126860.0,4.0,0.0,5.0
