[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
21-08 16:29:51|  4  20  76   0   0   0| 128M 21.0M  251M 3429M| 2112  15326 | 628k   11k|  14     1 |   0     0 |  9  11   0   2   0|180  17  12   0   0|  48k  127k|0.0   0 6.8
21-08 16:29:52|  2  16  81   0   0   0| 128M 21.0M  251M 3428M| 2144  15326 |   0     0 |   0     0 |1248B   19k|  9  11   0   2   0|180  17  12   0   0|  43k  127k|3.0   0 5.0
21-08 16:29:53|  1  20  79   0   0   0| 128M 21.0M  251M 3428M| 2176  15344 |   0     0 |   0     0 |1254B   20k|  9  11   0   2   0|180  17  12   0   0|  44k  127k|4.0   0  10
21-08 16:29:54|  2  22  75   0   0   0| 128M 21.0M  251M 3428M| 2176  15344 |   0     0 |   0     0 |1182B   18k|  9  11   0   2   0|180  17  12   0   0|  51k  135k|1.0   0 5.0
21-08 16:29:55|  1  23  77   0   0   0| 128M 21.0M  251M 3429M| 2176  15345 |   0     0 |   0     0 |1188B   20k|  9  11   0   2   0|180  17  12   0   0|  59k  144k|8.0   0 3.0
21-08 16:29:56| 16  19  66   0   0   0| 128M 21.0M  251M 3428M| 2144  15337 |   0   192k|   0    22 |1236B   17k|  9  11   0   2   0|180  17  12   0   0|  43k  121k|4.0   0  12
21-08 16:29:57|  2  23  74   0   0   0| 128M 21.0M  251M 3428M| 2144  15337 |   0     0 |   0     0 |1188B   19k|  9  11   0   2   0|180  17  12   0   0|  44k  127k|4.0   0 5.0
21-08 16:29:58|  1  21  78   0   0   0| 128M 21.0M  251M 3428M| 2144  15337 |   0     0 |   0     0 |1182B   20k|  9  11   0   2   0|180  17  12   0   0|  44k  127k|3.0   0 5.0
21-08 16:29:59|  2  16  82   0   0   0| 128M 21.0M  251M 3428M| 2144  15337 |   0     0 |   0     0 |1254B   19k|  9  11   0   2   0|180  17  12   0   0|  30k  113k|5.0   0 5.0
21-08 16:30:00|  1  15  83   0   0   0| 128M 21.0M  251M 3428M| 2144  15337 |   0     0 |   0     0 |1182B   18k|  9  11   0   2   0|180  17  12   0   0|  42k  126k|4.0   0 5.0
21-08 16:30:01|  2  19  79   0   0   0| 128M 21.0M  251M 3428M| 2144  15337 |   0    48k|   0     4 |1291B   19k|  9  11   0   2   0|180  17  12   0   0|  44k  127k|4.0   0 5.0
21-08 16:30:02|  1  22  77   0   0   0| 128M 21.0M  251M 3428M| 2144  15337 |   0    48k|   0     8 |1382B   19k|  9  11   0   2   0|180  17  12   0   0|  44k  127k|8.0   0 5.0
21-08 16:30:03|  1  19  80   0   0   0| 128M 21.0M  251M 3428M| 2144  15345 |   0     0 |   0     0 |1254B   18k|  9  11   0   2   0|180  17  12   0   0|  32k  114k|4.0   0  10
21-08 16:30:04|  2  21  77   0   0   0| 128M 21.0M  251M 3428M| 2144  15342 |   0     0 |   0     0 |1182B   19k|  9  11   0   2   0|180  17  12   0   0|  29k  110k|7.0   0 5.0
21-08 16:30:05|  1  19  79   0   0   0| 128M 21.0M  251M 3428M| 2144  15342 |   0     0 |   0     0 |1687B   20k|  9  11   0   2   0|180  17  12   0   0|  29k  110k|4.0   0 5.0
21-08 16:30:06|  8  23  69   0   0   0| 128M 21.0M  251M 3428M| 2144  15339 |   0    40k|   0     4 |1182B   18k|  9  11   0   2   0|180  17  12   0   0|  43k  124k|4.0   0  13
21-08 16:30:07|  4  21  75   0   0   0| 127M 21.0M  251M 3429M| 2144  15332 |   0    40k|   0     8 |1314B   20k|  9  11   0   2   0|181  17  12   0   0|  44k  127k|4.0   0 7.0
21-08 16:30:08|  3  21  76   0   0   0| 128M 21.0M  251M 3428M| 2144  15333 |   0     0 |   0     0 |1182B   18k|  9  11   0   2   0|180  17  12   0   0|  36k  120k|3.0   0 5.0
21-08 16:30:09|  2  15  83   0   0   0| 128M 21.0M  251M 3428M| 2112  15333 |   0     0 |   0     0 |1188B   20k|  9  11   0   2   0|180  17  12   0   0|  43k  129k|6.0   0 5.0
