"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-23-09-05-12-log.csv 1 360",,,,"Date:","23 Aug 2022 09:05:12 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","files","inodes","read","writ","reads","writs","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","int","csw","run","blk","new"
23-08 09:05:12,7.214,18.681,72.754,1.278,0.0,0.072,130768896.0,20832256.0,262696960.0,3599966208.0,2144.0,17072.0,4795853.400,7947.292,102.702,1.720,0.0,0.0,9.0,11.0,0.0,2.0,0.0,180.0,17.0,12.0,0.0,0.0,32488.934,88245.215,0.022,0.0,14.405
23-08 09:05:13,2.557,27.273,69.886,0.0,0.0,0.284,131125248.0,20832256.0,262725632.0,3599581184.0,2144.0,17072.0,0.0,0.0,0.0,0.0,1272.0,18975.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,55428.0,139429.0,1.0,0.0,9.0
23-08 09:05:14,6.522,21.118,72.360,0.0,0.0,0.0,132014080.0,20832256.0,262725632.0,3598692352.0,2144.0,17069.0,0.0,0.0,0.0,0.0,1080.0,16823.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,54277.0,127670.0,3.0,0.0,17.0
23-08 09:05:15,3.571,24.405,72.024,0.0,0.0,0.0,131940352.0,20832256.0,262733824.0,3598757888.0,2144.0,17069.0,0.0,32768.0,0.0,6.0,1560.0,18975.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,58130.0,142668.0,2.0,0.0,13.0
23-08 09:05:16,2.439,23.171,74.085,0.0,0.0,0.305,131919872.0,20832256.0,262737920.0,3598774272.0,2144.0,17069.0,0.0,0.0,0.0,0.0,1212.0,19916.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,58140.0,142740.0,4.0,0.0,9.0
23-08 09:05:17,10.334,22.188,67.477,0.0,0.0,0.0,131948544.0,20832256.0,262742016.0,3598741504.0,2144.0,17069.0,0.0,0.0,0.0,0.0,1428.0,20006.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,55139.0,139127.0,2.0,0.0,13.0
23-08 09:05:18,1.274,21.975,76.433,0.318,0.0,0.0,131923968.0,20840448.0,262742016.0,3598757888.0,2176.0,17067.0,0.0,98304.0,0.0,4.0,1188.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,57428.0,140622.0,2.0,0.0,2.0
23-08 09:05:19,3.550,25.444,71.006,0.0,0.0,0.0,131952640.0,20840448.0,262746112.0,3598725120.0,2176.0,17079.0,0.0,0.0,0.0,0.0,1436.0,20322.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,58192.0,141937.0,4.0,0.0,8.0
23-08 09:05:20,2.071,24.852,73.077,0.0,0.0,0.0,131694592.0,20840448.0,262746112.0,3598983168.0,2144.0,17092.0,0.0,122880.0,0.0,26.0,1487.0,20158.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,57125.0,140806.0,3.0,0.0,10.0
23-08 09:05:21,2.462,20.308,77.231,0.0,0.0,0.0,131661824.0,20840448.0,262746112.0,3599015936.0,2144.0,17089.0,0.0,0.0,0.0,0.0,1479.0,21024.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,57747.0,142410.0,5.0,0.0,5.0
23-08 09:05:22,2.053,24.633,73.314,0.0,0.0,0.0,131690496.0,20840448.0,262750208.0,3598983168.0,2176.0,17089.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,58918.0,143709.0,3.0,0.0,5.0
23-08 09:05:23,3.364,20.183,76.453,0.0,0.0,0.0,131649536.0,20848640.0,262750208.0,3599015936.0,2176.0,17089.0,0.0,24576.0,0.0,4.0,1182.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,58761.0,143502.0,5.0,0.0,5.0
23-08 09:05:24,7.012,21.951,71.037,0.0,0.0,0.0,132128768.0,20848640.0,262750208.0,3598536704.0,2176.0,17085.0,0.0,0.0,0.0,0.0,1122.0,16799.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,55007.0,136122.0,3.0,0.0,13.0
23-08 09:05:25,2.469,20.370,77.160,0.0,0.0,0.0,131866624.0,20856832.0,262782976.0,3598757888.0,2176.0,17085.0,16384.0,24576.0,4.0,2.0,1314.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,58819.0,143569.0,3.0,0.0,5.0
