[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
23-08 09:05:12|  7  19  73   1   0   0| 125M 19.9M  251M 3433M| 2144  17072 |4683k 7947B| 103     2 |   0     0 |  9  11   0   2   0|180  17  12   0   0|  32k   88k|0.0   0  14
23-08 09:05:13|  3  27  70   0   0   0| 125M 19.9M  251M 3433M| 2144  17072 |   0     0 |   0     0 |1272B   19k|  9  11   0   1   0|180  17  12   0   0|  55k  139k|1.0   0 9.0
23-08 09:05:14|  7  21  72   0   0   0| 126M 19.9M  251M 3432M| 2144  17069 |   0     0 |   0     0 |1080B   16k|  9  11   0   1   0|180  17  12   0   0|  54k  128k|3.0   0  17
23-08 09:05:15|  4  24  72   0   0   0| 126M 19.9M  251M 3432M| 2144  17069 |   0    32k|   0     6 |1560B   19k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|2.0   0  13
23-08 09:05:16|  2  23  74   0   0   0| 126M 19.9M  251M 3432M| 2144  17069 |   0     0 |   0     0 |1212B   19k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|4.0   0 9.0
23-08 09:05:17| 10  22  67   0   0   0| 126M 19.9M  251M 3432M| 2144  17069 |   0     0 |   0     0 |1428B   20k|  9  11   0   1   0|180  17  12   0   0|  55k  139k|2.0   0  13
23-08 09:05:18|  1  22  76   0   0   0| 126M 19.9M  251M 3432M| 2176  17067 |   0    96k|   0     4 |1188B   18k|  9  11   0   1   0|180  17  12   0   0|  57k  141k|2.0   0 2.0
23-08 09:05:19|  4  25  71   0   0   0| 126M 19.9M  251M 3432M| 2176  17079 |   0     0 |   0     0 |1436B   20k|  9  11   0   1   0|180  17  12   0   0|  58k  142k|4.0   0 8.0
23-08 09:05:20|  2  25  73   0   0   0| 126M 19.9M  251M 3432M| 2144  17092 |   0   120k|   0    26 |1487B   20k|  9  11   0   1   0|180  17  12   0   0|  57k  141k|3.0   0  10
23-08 09:05:21|  2  20  77   0   0   0| 126M 19.9M  251M 3432M| 2144  17089 |   0     0 |   0     0 |1479B   21k|  9  11   0   1   0|180  17  12   0   0|  58k  142k|5.0   0 5.0
23-08 09:05:22|  2  25  73   0   0   0| 126M 19.9M  251M 3432M| 2176  17089 |   0     0 |   0     0 |1188B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|3.0   0 5.0
23-08 09:05:23|  3  20  76   0   0   0| 126M 19.9M  251M 3432M| 2176  17089 |   0    24k|   0     4 |1182B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|5.0   0 5.0
23-08 09:05:24|  7  22  71   0   0   0| 126M 19.9M  251M 3432M| 2176  17085 |   0     0 |   0     0 |1122B   16k|  9  11   0   1   0|180  17  12   0   0|  55k  136k|3.0   0  13
23-08 09:05:25|  2  20  77   0   0   0| 126M 19.9M  251M 3432M| 2176  17085 |  16k   24k|   4     2 |1314B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|3.0   0 5.0
23-08 09:05:26|  1  19  80   0   0   0| 126M 19.9M  251M 3432M| 2176  17085 |   0     0 |   0     0 |1188B   20k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|3.0   0 5.0
23-08 09:05:27|  2  20  78   0   0   0| 126M 19.9M  251M 3432M| 2176  17085 |   0     0 |   0     0 |1182B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|7.0   0 5.0
23-08 09:05:28|  8  22  71   0   0   0| 126M 19.9M  251M 3432M| 2144  17082 |   0    40k|   0     4 |1248B   18k|  9  11   0   1   0|180  17  12   0   0|  52k  136k|3.0   0 7.0
23-08 09:05:29|  1  18  82   0   0   0| 126M 19.9M  251M 3432M| 2144  17082 |   0     0 |   0     0 |1182B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  127k|6.0   0 5.0
23-08 09:05:30|  4  23  74   0   0   0| 126M 19.9M  251M 3432M| 2144  17090 |   0     0 |   0     0 |1188B   19k|  9  11   0   1   0|180  17  12   0   0|  54k  137k|4.0   0  10
23-08 09:05:31|  1  21  78   0   0   0| 126M 19.9M  251M 3432M| 2176  17087 |   0     0 |   0     0 |1248B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  143k|3.0   0 5.0
23-08 09:05:32|  1  23  76   0   0   0| 126M 19.9M  251M 3432M| 2176  17087 |   0     0 |   0     0 |1254B   20k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|3.0   0 5.0
23-08 09:05:33|  3  20  77   0   0   0| 126M 19.9M  251M 3432M| 2176  17087 |   0    24k|   0     4 |1314B   18k|  9  11   0   1   0|180  17  12   0   0|  49k  132k|4.0   0 5.0
23-08 09:05:34| 10  22  68   0   0   0| 126M 19.9M  251M 3432M| 2208  17084 |   0     0 |   0     0 |1122B   19k|  9  11   0   1   0|180  17  12   0   0|  42k  122k|5.0   0  13
23-08 09:05:35|  3  21  76   0   0   0| 126M 19.9M  251M 3432M| 2176  17084 |   0     0 |   0     0 |1182B   18k|  9  11   0   1   0|180  17  12   0   0|  44k  127k|1.0   0 9.0
23-08 09:05:36|  2  18  80   0   0   0| 125M 19.9M  251M 3432M| 2144  17080 |   0     0 |   0     0 |1188B   19k|  9  11   0   1   0|180  17  12   0   0|  45k  128k|3.0   0 5.0
