"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-23-09-15-38-log.csv 1 360",,,,"Date:","23 Aug 2022 09:15:38 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","files","inodes","read","writ","reads","writs","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","int","csw","run","blk","new"
23-08 09:15:38,6.500,19.413,72.869,1.127,0.0,0.091,130142208.0,20996096.0,262754304.0,3600371712.0,2112.0,17072.0,3956943.044,8664.543,84.477,1.731,0.0,0.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,34829.546,95484.090,0.028,0.0,12.080
23-08 09:15:39,0.570,18.519,80.912,0.0,0.0,0.0,130584576.0,20996096.0,262770688.0,3599912960.0,2112.0,17072.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,29820.0,111917.0,3.0,0.0,5.0
23-08 09:15:40,3.261,23.098,73.641,0.0,0.0,0.0,130347008.0,20996096.0,262770688.0,3600150528.0,2144.0,17081.0,0.0,0.0,0.0,0.0,1442.0,21353.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,32881.0,114840.0,3.0,0.0,9.0
23-08 09:15:41,9.464,20.189,70.347,0.0,0.0,0.0,131223552.0,20996096.0,262770688.0,3599273984.0,2176.0,17077.0,0.0,0.0,0.0,0.0,1380.0,18861.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,52993.0,132232.0,5.0,0.0,13.0
23-08 09:15:42,0.935,21.495,77.570,0.0,0.0,0.0,130887680.0,20996096.0,262774784.0,3599605760.0,2176.0,17077.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,58309.0,143985.0,4.0,0.0,9.0
23-08 09:15:43,1.286,21.222,77.492,0.0,0.0,0.0,130789376.0,20996096.0,262774784.0,3599704064.0,2176.0,17078.0,0.0,0.0,0.0,0.0,1314.0,20857.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,57265.0,141230.0,8.0,1.0,5.0
23-08 09:15:44,3.406,17.028,79.567,0.0,0.0,0.0,130789376.0,21004288.0,262774784.0,3599695872.0,2144.0,17073.0,0.0,73728.0,0.0,4.0,1122.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,59190.0,145605.0,7.0,0.0,0.0
23-08 09:15:45,1.858,17.957,80.186,0.0,0.0,0.0,130752512.0,21004288.0,262778880.0,3599728640.0,2112.0,17073.0,0.0,0.0,0.0,0.0,1314.0,20923.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,59242.0,144732.0,1.0,0.0,5.0
23-08 09:15:46,8.333,16.049,75.617,0.0,0.0,0.0,130412544.0,21004288.0,262778880.0,3600068608.0,2016.0,17070.0,0.0,0.0,0.0,0.0,1442.0,18861.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,55240.0,141916.0,4.0,0.0,7.0
