[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
23-08 09:15:38|  6  19  73   1   0   0| 124M 20.0M  251M 3434M| 2112  17072 |3864k 8665B|  84     2 |   0     0 |  9  11   0   1   0|180  17  12   0   0|  35k   95k|0.0   0  12
23-08 09:15:39|  1  19  81   0   0   0| 125M 20.0M  251M 3433M| 2112  17072 |   0     0 |   0     0 |1248B   18k|  9  11   0   1   0|180  17  12   0   0|  30k  112k|3.0   0 5.0
23-08 09:15:40|  3  23  74   0   0   0| 124M 20.0M  251M 3433M| 2144  17081 |   0     0 |   0     0 |1442B   21k|  9  11   0   1   0|180  17  12   0   0|  33k  115k|3.0   0 9.0
23-08 09:15:41|  9  20  70   0   0   0| 125M 20.0M  251M 3433M| 2176  17077 |   0     0 |   0     0 |1380B   18k|  9  11   0   1   0|180  17  12   0   0|  53k  132k|5.0   0  13
23-08 09:15:42|  1  21  78   0   0   0| 125M 20.0M  251M 3433M| 2176  17077 |   0     0 |   0     0 |1188B   18k|  9  11   0   1   0|180  17  12   0   0|  58k  144k|4.0   0 9.0
23-08 09:15:43|  1  21  77   0   0   0| 125M 20.0M  251M 3433M| 2176  17078 |   0     0 |   0     0 |1314B   20k|  9  11   0   1   0|180  17  12   0   0|  57k  141k|8.0 1.0 5.0
23-08 09:15:44|  3  17  80   0   0   0| 125M 20.0M  251M 3433M| 2144  17073 |   0    72k|   0     4 |1122B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  146k|7.0   0   0
23-08 09:15:45|  2  18  80   0   0   0| 125M 20.0M  251M 3433M| 2112  17073 |   0     0 |   0     0 |1314B   20k|  9  11   0   1   0|180  17  12   0   0|  59k  145k|1.0   0 5.0
23-08 09:15:46|  8  16  76   0   0   0| 124M 20.0M  251M 3433M| 2016  17070 |   0     0 |   0     0 |1442B   18k|  9  11   0   1   0|180  17  12   0   0|  55k  142k|4.0   0 7.0
23-08 09:15:47|  3  13  84   0   0   0| 124M 20.0M  251M 3433M| 1920  17070 |   0     0 |   0     0 |1547B   19k|  9  11   0   1   0|180  17  12   0   0|  46k  134k|2.0   0 5.0
23-08 09:15:48|  2  13  85   0   0   0| 125M 20.0M  251M 3433M| 1888  17083 |   0     0 |   0     0 |1345B   21k|  9  11   0   1   0|180  17  12   0   0|  40k  130k|5.0   0  10
23-08 09:15:49|  1  14  85   0   0   0| 125M 20.0M  251M 3433M| 1856  17083 |   0    24k|   0     4 |1248B   18k|  9  11   0   1   0|180  17  12   0   0|  64k  156k|6.0   0 5.0
23-08 09:15:50|  4  15  81   0   0   0| 124M 20.0M  251M 3434M| 1792  17079 |   0     0 |   0     0 |3257B   21k|  9  11   0   1   1|181  18  12   0   0|  62k  153k|5.0   0  26
23-08 09:15:51|  8  23  69   0   0   0| 125M 20.0M  251M 3433M| 2176  17076 |   0     0 |   0     0 |1380B   20k|  9  11   0   2   0|180  17  12   0   0|  42k  120k|4.0   0  14
23-08 09:15:52|  1  19  80   0   0   0| 125M 20.0M  251M 3433M| 2176  17076 |   0     0 |   0     0 |1188B   18k|  9  11   0   2   0|180  17  12   0   0|  44k  126k|2.0   0 5.0
23-08 09:15:53|  1  19  80   0   0   0| 125M 20.0M  251M 3433M| 2176  17076 |   0     0 |   0     0 |1182B   19k|  9  11   0   2   0|180  17  12   0   0|  44k  126k|7.0   0 5.0
23-08 09:15:54|  2  15  83   0   0   0| 124M 20.0M  251M 3433M| 2176  17076 |   0    24k|   0     4 |1188B   19k|  9  11   0   2   0|180  17  12   0   0|  44k  126k|5.0   0 5.0
23-08 09:15:55|  2  23  76   0   0   0| 124M 20.0M  251M 3433M| 2176  17076 |   0     0 |   0     0 |1182B   20k|  9  11   0   2   0|180  17  12   0   0|  44k  126k|2.0   0 5.0
23-08 09:15:56|  1  16  82   0   0   0| 124M 20.0M  251M 3433M| 2176  17076 |   0     0 |   0     0 |1254B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  127k|7.0   0 5.0
23-08 09:15:57|  2  20  77   0   0   0| 122M 20.0M  251M 3436M| 2144  17057 |   0    80k|   0    18 |1272B   18k|  9  11   0   1   0|180  17  12   0   0|  44k  125k|3.0   0 9.0
23-08 09:15:58|  6  22  72   0   0   0| 125M 20.0M  251M 3433M| 2112  17083 |   0     0 |   0     0 |1188B   20k|  9  11   0   1   0|180  17  12   0   0|  44k  126k|4.0   0  12
23-08 09:15:59|  1  23  76   0   0   0| 125M 20.1M  251M 3433M| 2144  17083 |   0    24k|   0     4 |1314B   18k|  9  11   0   1   0|180  17  12   0   0|  34k  116k|5.0   0 5.0
23-08 09:16:00|  2  18  80   0   0   0| 125M 20.1M  251M 3432M| 2144  17087 |   0     0 |   0     0 |1466B   20k|  9  11   0   1   0|180  17  12   0   0|  34k  116k|2.0   0  12
23-08 09:16:01|  8  19  73   0   0   0| 125M 20.1M  251M 3432M| 2144  17083 |   0     0 |   0     0 |1446B   19k|  9  11   0   1   0|180  17  12   0   0|  39k  118k|4.0   0  13
23-08 09:16:02|  2  21  76   0   0   0| 125M 20.1M  251M 3432M| 2144  17083 |   0     0 |   0     0 |1188B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  143k|5.0   0 5.0
23-08 09:16:03|  1  20  79   0   0   0| 125M 20.1M  251M 3432M| 2144  17083 |   0     0 |   0     0 |1483B   20k|  9  11   0   1   0|180  17  12   0   0|  59k  143k|4.0   0 5.0
23-08 09:16:04|  2  24  74   0   0   0| 125M 20.1M  251M 3432M| 2144  17083 |   0    24k|   0     4 |1122B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  143k|2.0   0 5.0
23-08 09:16:05|  1  18  80   0   0   0| 125M 20.1M  251M 3432M| 2144  17083 |   0     0 |   0     0 |1417B   20k|  9  11   0   1   0|180  17  12   0   0|  59k  143k|1.0   0 5.0
23-08 09:16:06|  3  21  76   0   0   0| 125M 20.1M  251M 3432M| 2144  17083 |   0     0 |   0     0 |1254B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  143k|2.0   0 5.0
23-08 09:16:07|  2  19  79   0   0   0| 125M 20.1M  251M 3432M| 2144  17083 |   0    24k|   0     4 |1481B   20k|  9  11   0   1   0|180  17  12   0   0|  59k  143k|1.0   0 5.0
23-08 09:16:08|  2  21  77   0   0   0| 125M 20.1M  251M 3432M| 2176  17088 |   0     0 |   0     0 |1454B   20k|  9  11   0   1   0|180  17  12   0   0|  46k  130k|5.0   0  10
23-08 09:16:09|  7  24  69   0   0   0| 125M 20.1M  251M 3433M| 2144  17085 |   0    40k|   0     4 |1182B   18k|  9  11   0   1   0|180  17  12   0   0|  43k  127k|4.0   0 7.0
23-08 09:16:10|  2  24  73   0   0   0| 125M 20.1M  251M 3433M| 2144  17085 |   0     0 |   0     0 |1254B   20k|  9  11   0   1   0|180  17  12   0   0|  37k  121k|4.0   0 5.0
23-08 09:16:11|  6  24  70   0   0   0| 125M 20.1M  251M 3432M| 2208  17082 |   0     0 |   0     0 |1182B   18k|  9  11   0   1   0|180  17  12   0   0|  34k  115k|3.0   0  13
23-08 09:16:12|  2  25  73   0   0   0| 125M 20.1M  251M 3433M| 2176  17082 |   0   120k|   0     4 |1291B   18k|  9  11   0   1   0|180  17  12   0   0|  38k  122k|5.0   0 5.0
23-08 09:16:13|  2  25  74   0   0   0| 125M 20.1M  251M 3433M| 2176  17082 |   0     0 |   0     0 |1314B   20k|  9  11   0   1   0|180  17  12   0   0|  34k  117k|3.0   0 5.0
23-08 09:16:14|  2  27  71   0   0   0| 125M 20.1M  251M 3433M| 2176  17082 |   0    48k|   0     4 |1122B   18k|  9  11   0   1   0|180  17  12   0   0|  44k  128k|5.0   0 5.0
23-08 09:16:15|  2  24  75   0   0   0| 125M 20.1M  251M 3433M| 2176  17082 |   0     0 |   0     0 |1272B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  127k|5.0   0 9.0
23-08 09:16:16|  1  23  75   0   0   0| 125M 20.1M  251M 3433M| 2176  17082 |   0     0 |   0     0 |1188B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  127k|5.0   0 5.0
23-08 09:16:17|  2  19  79   0   0   0| 125M 20.1M  251M 3433M| 2176  17082 |   0     0 |   0     0 |1594B   19k|  9  11   0   1   0|180  17  12   0   0|  47k  131k|2.0   0 5.0
23-08 09:16:18|  3  26  72   0   0   0| 125M 20.1M  251M 3433M| 2144  17087 |   0     0 |   0     0 |1212B   19k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|2.0   0  14
23-08 09:16:19|  5  26  70   0   0   0| 125M 20.1M  251M 3433M| 2144  17087 |   0    24k|   0     4 |1314B   19k|  9  11   0   1   0|180  17  12   0   0|  59k  143k|3.0   0 5.0
23-08 09:16:20|  9  26  65   0   0   0| 125M 20.1M  251M 3433M| 2144  17086 |   0     0 |   0     0 |1376B   20k|  9  11   0   1   0|180  17  12   0   0|  53k  137k|2.0   0  10
23-08 09:16:21|  8  23  69   0   0   0| 126M 20.1M  251M 3432M| 2176  17082 |   0     0 |   0     0 |1308B   17k|  9  11   0   1   0|180  17  12   0   0|  42k  120k|2.0   0  13
23-08 09:16:22|  2  20  78   0   0   0| 125M 20.1M  251M 3432M| 2176  17082 |   0     0 |   0     0 |1254B   18k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|4.0   0 5.0
23-08 09:16:23|  2  17  82   0   0   0| 126M 20.1M  251M 3432M| 2176  17082 |   0     0 |   0     0 |1248B   18k|  9  11   0   1   0|180  17  12   0   0|  44k  127k|4.0   0 5.0
23-08 09:16:24|  2  18  80   0   0   0| 126M 20.1M  251M 3432M| 2176  17083 |   0    24k|   0     4 |1122B   19k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|4.0   0 4.0
23-08 09:16:25|  1  17  82   0   0   0| 125M 20.1M  251M 3432M| 2176  17082 |   0     0 |   0     0 |1248B   19k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|4.0   0 1.0
23-08 09:16:26|  2  16  82   0   0   0| 125M 20.1M  251M 3432M| 2176  17082 |   0     0 |   0     0 |1320B   20k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|4.0   0 5.0
23-08 09:16:27|  2  16  82   0   0   0| 125M 20.1M  251M 3432M| 2176  17082 |   0     0 |   0     0 |1481B   19k|  9  11   0   1   0|180  17  12   0   0|  59k  143k|3.0   0 5.0
23-08 09:16:28|  2  16  82   0   0   0| 125M 20.1M  251M 3432M| 2208  17090 |   0     0 |   0     0 |1285B   20k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|3.0   0  10
23-08 09:16:29|  3  20  77   0   0   0| 125M 20.1M  251M 3432M| 2176  17087 |   0    24k|   0     4 |1272B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|5.0   0 9.0
23-08 09:16:30|  2  17  81   0   0   0| 125M 20.1M  251M 3433M| 2176  17087 |   0     0 |   0     0 |1188B   18k|  9  11   0   1   0|180  17  12   0   0|  59k  144k|4.0   0 5.0
23-08 09:16:31| 15  18  67   0   0   0| 123M 20.1M  251M 3434M| 2144  17065 |   0     0 |   0     0 |1134B   14k|  9  11   0   1   0|181  17  12   0   0|  52k  130k|4.0   0  17
23-08 09:16:32|  4  17  79   0   0   0| 125M 20.1M  251M 3433M| 2144  17082 |   0     0 |   0     0 |1446B   20k|  9  11   0   1   0|180  17  12   0   0|  43k  126k|5.0   0 7.0
23-08 09:16:33|  2  20  78   0   0   0| 125M 20.1M  251M 3433M| 2144  17082 |   0     0 |   0     0 |1351B   18k|  9  11   0   1   0|180  17  12   0   0|  44k  127k|1.0   0 6.0
23-08 09:16:34|  1  20  79   0   0   0| 125M 20.1M  251M 3433M| 2144  17082 |   0    24k|   0     4 |1122B   18k|  9  11   0   1   0|180  17  12   0   0|  32k  113k|5.0   0 5.0
23-08 09:16:35|  2  15  83   0   0   0| 125M 20.1M  251M 3433M| 2144  17082 |   0     0 |   0     0 |1248B   20k|  9  11   0   1   0|180  17  12   0   0|  40k  123k|5.0   0 9.0
