usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
9.091,20.235,70.674,0.0,0.0,0.0,132382720.0,23080960.0,263430144.0,3595370496.0,2144.0,15495.0,0.0,0.0,0.0,0.0,1314.0,20857.0,9.0,11.0,0.0,1.0,0.0,181.0,17.0,12.0,0.0,0.0,43279.0,125009.0,0.0,0.0,13.0
2.292,20.917,76.791,0.0,0.0,0.0,132145152.0,23080960.0,263430144.0,3595608064.0,2144.0,15495.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,43635.0,126063.0,6.0,0.0,5.0
8.215,22.946,68.839,0.0,0.0,0.0,132194304.0,23080960.0,263434240.0,3595554816.0,2112.0,15499.0,0.0,0.0,0.0,0.0,1436.0,19291.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,40812.0,121943.0,8.0,0.0,8.0
2.507,19.499,77.994,0.0,0.0,0.0,132685824.0,23080960.0,263438336.0,3595059200.0,2144.0,15517.0,0.0,0.0,0.0,0.0,1282.0,20010.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,28632.0,107957.0,6.0,0.0,7.0
0.0,20.958,79.042,0.0,0.0,0.0,132427776.0,23080960.0,263438336.0,3595317248.0,2176.0,15514.0,0.0,0.0,0.0,0.0,1351.0,18861.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,41256.0,124414.0,0.0,0.0,5.0
1.441,21.614,76.945,0.0,0.0,0.0,132419584.0,23089152.0,263438336.0,3595317248.0,2176.0,15514.0,0.0,90112.0,0.0,4.0,1254.0,19892.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,43034.0,127363.0,4.0,0.0,5.0
1.7,22.38,75.921,0.0,0.0,0.0,132415488.0,23089152.0,263442432.0,3595317248.0,2176.0,15514.0,0.0,0.0,0.0,0.0,1314.0,20857.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,42967.0,127220.0,6.0,0.0,5.0
1.14,17.949,80.912,0.0,0.0,0.0,132415488.0,23089152.0,263442432.0,3595317248.0,2176.0,15514.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,29947.0,111985.0,3.0,0.0,5.0
1.404,23.034,75.562,0.0,0.0,0.0,132382720.0,23089152.0,263442432.0,3595350016.0,2176.0,15514.0,0.0,0.0,0.0,0.0,1248.0,20857.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,41715.0,125583.0,4.0,0.0,5.0
1.881,20.063,78.056,0.0,0.0,0.0,132411392.0,23089152.0,263446528.0,3595317248.0,2144.0,15514.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,53208.0,137300.0,5.0,0.0,5.0
8.133,21.084,70.783,0.0,0.0,0.0,132669440.0,23097344.0,263446528.0,3595051008.0,2144.0,15510.0,0.0,40960.0,0.0,4.0,1182.0,18795.0,9.0,11.0,0.0,1.0,0.0,181.0,17.0,12.0,0.0,0.0,44766.0,126151.0,2.0,0.0,13.0
