[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
25-08 10:41:00|  4  19  76   0   0   0| 126M 22.0M  251M 3429M| 2144  15498 |1604k   11k|  36     2 |   0     0 |  9  11   0   1   0|180  17  12   0   0|  45k  117k|0.0   0 7.7
25-08 10:41:01|  9  20  71   0   0   0| 126M 22.0M  251M 3429M| 2144  15495 |   0     0 |   0     0 |1314B   20k|  9  11   0   1   0|181  17  12   0   0|  43k  125k|  0   0  13
25-08 10:41:02|  2  21  77   0   0   0| 126M 22.0M  251M 3429M| 2144  15495 |   0     0 |   0     0 |1122B   18k|  9  11   0   1   0|180  17  12   0   0|  44k  126k|6.0   0 5.0
25-08 10:41:03|  8  23  69   0   0   0| 126M 22.0M  251M 3429M| 2112  15499 |   0     0 |   0     0 |1436B   19k|  9  11   0   1   0|180  17  12   0   0|  41k  122k|8.0   0 8.0
25-08 10:41:04|  3  19  78   0   0   0| 127M 22.0M  251M 3429M| 2144  15517 |   0     0 |   0     0 |1282B   20k|  9  11   0   1   0|180  17  12   0   0|  29k  108k|6.0   0 7.0
25-08 10:41:05|  0  21  79   0   0   0| 126M 22.0M  251M 3429M| 2176  15514 |   0     0 |   0     0 |1351B   18k|  9  11   0   1   0|180  17  12   0   0|  41k  124k|  0   0 5.0
25-08 10:41:06|  1  22  77   0   0   0| 126M 22.0M  251M 3429M| 2176  15514 |   0    88k|   0     4 |1254B   19k|  9  11   0   1   0|180  17  12   0   0|  43k  127k|4.0   0 5.0
25-08 10:41:07|  2  22  76   0   0   0| 126M 22.0M  251M 3429M| 2176  15514 |   0     0 |   0     0 |1314B   20k|  9  11   0   1   0|180  17  12   0   0|  43k  127k|6.0   0 5.0
25-08 10:41:08|  1  18  81   0   0   0| 126M 22.0M  251M 3429M| 2176  15514 |   0     0 |   0     0 |1122B   18k|  9  11   0   1   0|180  17  12   0   0|  30k  112k|3.0   0 5.0
25-08 10:41:09|  1  23  76   0   0   0| 126M 22.0M  251M 3429M| 2176  15514 |   0     0 |   0     0 |1248B   20k|  9  11   0   1   0|180  17  12   0   0|  42k  126k|4.0   0 5.0
25-08 10:41:10|  2  20  78   0   0   0| 126M 22.0M  251M 3429M| 2144  15514 |   0     0 |   0     0 |1188B   18k|  9  11   0   1   0|180  17  12   0   0|  53k  137k|5.0   0 5.0
25-08 10:41:11|  8  21  71   0   0   0| 127M 22.0M  251M 3429M| 2144  15510 |   0    40k|   0     4 |1182B   18k|  9  11   0   1   0|181  17  12   0   0|  45k  126k|2.0   0  13
25-08 10:41:12|  2  23  75   0   0   0| 126M 22.0M  251M 3429M| 2144  15510 |   0     0 |   0     0 |1188B   20k|  9  11   0   1   0|180  17  12   0   0|  56k  141k|2.0   0 5.0
