"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-21-16-09-01-log.csv 1 360",,,,"Date:","21 Aug 2022 16:09:01 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","files","inodes","read","writ","reads","writs","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","int","csw","run","blk","new"
21-08 16:09:01,3.512,19.776,76.532,0.155,0.0,0.025,130723840.0,21360640.0,263016448.0,3599163392.0,2144.0,15388.0,523028.900,9591.703,11.193,1.210,0.0,0.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,47864.129,128868.357,0.004,0.0,6.112
21-08 16:09:02,3.125,22.159,74.716,0.0,0.0,0.0,130613248.0,21360640.0,263028736.0,3599261696.0,2144.0,15407.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,34423.0,114985.0,3.0,0.0,15.0
21-08 16:09:03,2.809,22.191,75.0,0.0,0.0,0.0,130564096.0,21368832.0,263020544.0,3599310848.0,2144.0,15407.0,0.0,73728.0,0.0,4.0,1188.0,20857.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,43410.0,126566.0,3.0,0.0,5.0
21-08 16:09:04,2.186,18.852,78.962,0.0,0.0,0.0,130555904.0,21368832.0,263028736.0,3599310848.0,2144.0,15407.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,28216.0,109767.0,7.0,0.0,0.0
21-08 16:09:05,3.270,19.346,77.384,0.0,0.0,0.0,130551808.0,21368832.0,263032832.0,3599310848.0,2176.0,15407.0,0.0,0.0,0.0,0.0,1188.0,19892.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,29014.0,111260.0,3.0,0.0,5.0
21-08 16:09:06,1.401,23.249,75.350,0.0,0.0,0.0,131067904.0,21368832.0,263032832.0,3598794752.0,2176.0,15407.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,43306.0,125611.0,3.0,0.0,5.0
21-08 16:09:07,1.316,23.947,74.737,0.0,0.0,0.0,131100672.0,21368832.0,263032832.0,3598761984.0,2176.0,15407.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,29394.0,110707.0,5.0,0.0,5.0
21-08 16:09:08,1.511,24.169,74.320,0.0,0.0,0.0,130838528.0,21368832.0,263036928.0,3599020032.0,2176.0,15407.0,0.0,0.0,0.0,0.0,1314.0,20857.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,56318.0,141092.0,3.0,0.0,5.0
21-08 16:09:09,6.490,23.599,69.617,0.295,0.0,0.0,131579904.0,21377024.0,263036928.0,3598270464.0,2144.0,15408.0,0.0,24576.0,0.0,4.0,1400.0,18350.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,42640.0,124355.0,3.0,0.0,10.0
