[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
21-08 16:09:01|  4  20  77   0   0   0| 125M 20.4M  251M 3432M| 2144  15388 | 511k 9592B|  11     1 |   0     0 |  9  11   0   1   0|180  17  12   0   0|  48k  129k|0.0   0 6.1
21-08 16:09:02|  3  22  75   0   0   0| 125M 20.4M  251M 3433M| 2144  15407 |   0     0 |   0     0 |1182B   18k|  9  11   0   1   0|180  17  12   0   0|  34k  115k|3.0   0  15
21-08 16:09:03|  3  22  75   0   0   0| 125M 20.4M  251M 3433M| 2144  15407 |   0    72k|   0     4 |1188B   20k|  9  11   0   1   0|180  17  12   0   0|  43k  127k|3.0   0 5.0
21-08 16:09:04|  2  19  79   0   0   0| 125M 20.4M  251M 3433M| 2144  15407 |   0     0 |   0     0 |1248B   18k|  9  11   0   1   0|180  17  12   0   0|  28k  110k|7.0   0   0
21-08 16:09:05|  3  19  77   0   0   0| 125M 20.4M  251M 3433M| 2176  15407 |   0     0 |   0     0 |1188B   19k|  9  11   0   1   0|180  17  12   0   0|  29k  111k|3.0   0 5.0
21-08 16:09:06|  1  23  75   0   0   0| 125M 20.4M  251M 3432M| 2176  15407 |   0     0 |   0     0 |1182B   18k|  9  11   0   1   0|180  17  12   0   0|  43k  126k|3.0   0 5.0
21-08 16:09:07|  1  24  75   0   0   0| 125M 20.4M  251M 3432M| 2176  15407 |   0     0 |   0     0 |1188B   19k|  9  11   0   1   0|180  17  12   0   0|  29k  111k|5.0   0 5.0
21-08 16:09:08|  2  24  74   0   0   0| 125M 20.4M  251M 3432M| 2176  15407 |   0     0 |   0     0 |1314B   20k|  9  11   0   1   0|180  17  12   0   0|  56k  141k|3.0   0 5.0
21-08 16:09:09|  6  24  70   0   0   0| 125M 20.4M  251M 3432M| 2144  15408 |   0    24k|   0     4 |1400B   18k|  9  11   0   1   0|180  17  12   0   0|  43k  124k|3.0   0  10
21-08 16:09:10|  4  23  73   0   0   0| 125M 20.4M  251M 3432M| 2176  15411 |   0     0 |   0     0 |1308B   18k|  9  11   0   1   0|180  17  12   0   0|  44k  128k|1.0   0 5.0
21-08 16:09:11|  8  16  76   0   0   0| 125M 20.4M  251M 3432M| 2176  15407 |   0     0 |   0     0 |1188B   19k|  9  11   0   1   0|181  17  12   0   0|  52k  127k|1.0   0  13
21-08 16:09:12|  2  21  77   0   0   0| 124M 20.4M  251M 3433M| 2176  15415 |   0     0 |   0     0 |1380B   19k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|1.0   0  10
21-08 16:09:13|  1  20  79   0   0   0| 124M 20.4M  251M 3433M| 2176  15412 |   0     0 |   0     0 |1122B   18k|  9  11   0   1   0|180  17  12   0   0|  46k  130k|1.0   0 5.0
21-08 16:09:14|  2  20  78   0   0   0| 124M 20.4M  251M 3433M| 2176  15412 |   0    24k|   0     4 |1248B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  126k|4.0   0 5.0
21-08 16:09:15|  2  22  76   0   0   0| 124M 20.4M  251M 3433M| 2176  15412 |   0     0 |   0     0 |1344B   20k|  9  11   0   1   0|180  17  12   0   0|  43k  127k|2.0   0 9.0
21-08 16:09:16|  1  26  73   0   0   0| 124M 20.4M  251M 3433M| 2176  15412 |   0     0 |   0     0 |1441B   19k|  9  11   0   1   0|180  17  12   0   0|  33k  115k|2.0   0 5.0
21-08 16:09:17|  1  24  75   0   0   0| 125M 20.4M  251M 3432M| 2176  15412 |   0  8192B|   0     2 |1421B   21k|  9  11   0   1   0|180  17  12   0   0|  33k  115k|  0   0 5.0
21-08 16:09:18|  2  24  74   0   0   0| 125M 20.4M  251M 3432M| 2176  15412 |   0     0 |   0     0 |1369B   19k|  9  11   0   1   0|180  17  12   0   0|  28k  110k|3.0   0 5.0
21-08 16:09:19|  4  24  72   0   0   0| 125M 20.4M  251M 3432M| 2176  15412 |   0    48k|   0     4 |1374B   18k|  9  11   0   1   0|180  17  12   0   0|  37k  119k|5.0   0 5.0
21-08 16:09:20|  2  27  71   0   0   0| 125M 20.4M  251M 3432M| 2176  15412 |   0     0 |   0     0 |1182B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  126k|  0   0 5.0
21-08 16:09:21| 13  22  65   0   0   0| 125M 20.4M  251M 3432M| 2176  15407 |   0     0 |   0     0 |1254B   19k|  9  11   0   1   0|181  17  12   0   0|  34k  114k|4.0   0  15
21-08 16:09:22|  2  19  78   0   0   0| 125M 20.4M  251M 3432M| 2176  15415 |   0   192k|   0    24 |1314B   20k|  9  11   0   1   0|180  17  12   0   0|  43k  127k|5.0   0  11
21-08 16:09:23|  2  19  79   0   0   0| 125M 20.4M  251M 3432M| 2176  15412 |   0     0 |   0     0 |1188B   18k|  9  11   0   1   0|180  17  12   0   0|  43k  127k|1.0   0 5.0
21-08 16:09:24|  2  18  80   0   0   0| 126M 20.4M  251M 3431M| 2176  15412 |   0    48k|   0     4 |1182B   18k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|1.0   0 5.0
21-08 16:09:25|  2  16  82   0   0   0| 126M 20.4M  251M 3431M| 2176  15412 |   0     0 |   0     0 |1254B   20k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|1.0   0 5.0
21-08 16:09:26|  1  19  80   0   0   0| 125M 20.4M  251M 3432M| 2176  15412 |   0     0 |   0     0 |1248B   18k|  9  11   0   1   0|180  17  12   0   0|  58k  142k|2.0   0 5.0
