usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
2.479,23.416,74.105,0.0,0.0,0.0,132526080.0,22667264.0,263020544.0,3596050432.0,2112.0,15338.0,0.0,0.0,0.0,0.0,1248.0,20249.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,43235.0,127986.0,0.0,0.0,5.0
2.394,26.064,71.277,0.0,0.0,0.266,132534272.0,22667264.0,263020544.0,3596042240.0,2112.0,15338.0,0.0,0.0,0.0,0.0,1254.0,19403.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,43076.0,127664.0,2.0,0.0,5.0
1.657,24.033,74.033,0.276,0.0,0.0,132255744.0,22675456.0,263016448.0,3596316672.0,2112.0,15338.0,0.0,155648.0,0.0,12.0,1182.0,18795.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,42626.0,127556.0,3.0,0.0,5.0
2.646,23.28,74.074,0.0,0.0,0.0,132263936.0,22675456.0,263024640.0,3596300288.0,2112.0,15338.0,0.0,0.0,0.0,0.0,1188.0,20857.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,32604.0,116648.0,3.0,0.0,5.0
1.923,23.901,74.176,0.0,0.0,0.0,132263936.0,22675456.0,263024640.0,3596300288.0,2112.0,15339.0,0.0,0.0,0.0,0.0,1481.0,19061.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,43480.0,128130.0,1.0,0.0,1.0
1.433,21.49,76.791,0.0,0.0,0.287,132259840.0,22675456.0,263028736.0,3596300288.0,2112.0,15338.0,0.0,0.0,0.0,0.0,1285.0,19993.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,43310.0,127691.0,3.0,0.0,4.0
3.457,25.266,71.011,0.0,0.0,0.266,132386816.0,22675456.0,263028736.0,3596173312.0,2112.0,15338.0,0.0,0.0,0.0,0.0,1417.0,19892.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,43306.0,127995.0,0.0,0.0,5.0
1.506,17.771,80.422,0.0,0.0,0.301,132640768.0,22675456.0,263032832.0,3595915264.0,2144.0,15338.0,0.0,0.0,0.0,0.0,1122.0,20249.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,43355.0,128444.0,6.0,1.0,5.0
5.797,23.768,67.536,2.609,0.0,0.29,131842048.0,22683648.0,263032832.0,3596705792.0,2144.0,15353.0,0.0,131072.0,0.0,22.0,1314.0,19403.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,37867.0,119241.0,4.0,0.0,12.0
7.599,17.325,74.772,0.0,0.0,0.304,132456448.0,22683648.0,263032832.0,3596091392.0,2176.0,15347.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,11.0,0.0,4.0,0.0,180.0,17.0,12.0,0.0,0.0,43950.0,123030.0,2.0,0.0,13.0
