[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
21-08 15:45:55|  4  20  76   0   0   0| 126M 21.6M  251M 3430M| 2080  15343 | 646k 9107B|  14     1 |   0     0 |  9  11   0   4   0|180  17  12   0   0|  49k  129k|0.0   0 7.2
21-08 15:45:56|  2  23  74   0   0   0| 126M 21.6M  251M 3429M| 2112  15338 |   0     0 |   0     0 |1248B   20k|  9  11   0   4   0|180  17  12   0   0|  43k  128k|  0   0 5.0
21-08 15:45:57|  2  26  71   0   0   0| 126M 21.6M  251M 3429M| 2112  15338 |   0     0 |   0     0 |1254B   19k|  9  11   0   4   0|180  17  12   0   0|  43k  128k|2.0   0 5.0
21-08 15:45:58|  2  24  74   0   0   0| 126M 21.6M  251M 3430M| 2112  15338 |   0   152k|   0    12 |1182B   18k|  9  11   0   4   0|180  17  12   0   0|  43k  128k|3.0   0 5.0
21-08 15:45:59|  3  23  74   0   0   0| 126M 21.6M  251M 3430M| 2112  15338 |   0     0 |   0     0 |1188B   20k|  9  11   0   4   0|180  17  12   0   0|  33k  117k|3.0   0 5.0
21-08 15:46:00|  2  24  74   0   0   0| 126M 21.6M  251M 3430M| 2112  15339 |   0     0 |   0     0 |1481B   19k|  9  11   0   4   0|180  17  12   0   0|  43k  128k|1.0   0 1.0
21-08 15:46:01|  1  21  77   0   0   0| 126M 21.6M  251M 3430M| 2112  15338 |   0     0 |   0     0 |1285B   20k|  9  11   0   4   0|180  17  12   0   0|  43k  128k|3.0   0 4.0
21-08 15:46:02|  3  25  71   0   0   0| 126M 21.6M  251M 3430M| 2112  15338 |   0     0 |   0     0 |1417B   19k|  9  11   0   4   0|180  17  12   0   0|  43k  128k|  0   0 5.0
21-08 15:46:03|  2  18  80   0   0   0| 126M 21.6M  251M 3429M| 2144  15338 |   0     0 |   0     0 |1122B   20k|  9  11   0   4   0|180  17  12   0   0|  43k  128k|6.0 1.0 5.0
21-08 15:46:04|  6  24  68   3   0   0| 126M 21.6M  251M 3430M| 2144  15353 |   0   128k|   0    22 |1314B   19k|  9  11   0   4   0|180  17  12   0   0|  38k  119k|4.0   0  12
21-08 15:46:05|  8  17  75   0   0   0| 126M 21.6M  251M 3430M| 2176  15347 |   0     0 |   0     0 |1122B   18k|  9  11   0   4   0|180  17  12   0   0|  44k  123k|2.0   0  13
21-08 15:46:06|  1  18  80   0   0   0| 126M 21.6M  251M 3430M| 2144  15347 |   0     0 |   0     0 |1182B   19k|  9  11   0   4   0|180  17  12   0   0|  50k  134k|3.0   0 5.0
21-08 15:46:07|  2  23  74   0   0   0| 126M 21.6M  251M 3430M| 2144  15347 |   0     0 |   0     0 |1188B   19k|  9  11   0   4   0|180  17  12   0   0|  58k  142k|1.0   0 5.0
21-08 15:46:08|  2  18  80   0   0   0| 126M 21.6M  251M 3430M| 2144  15347 |   0     0 |   0     0 |1248B   18k|  9  11   0   4   0|180  17  12   0   0|  58k  142k|4.0   0 5.0
21-08 15:46:09|  4  19  77   0   0   0| 126M 21.6M  251M 3429M| 2144  15356 |   0    96k|   0    18 |1376B   20k|  9  11   0   4   0|180  17  12   0   0|  58k  142k|3.0   0 8.0
21-08 15:46:10|  2  24  75   0   0   0| 126M 21.6M  251M 3429M| 2144  15354 |   0     0 |   0     0 |1248B   19k|  9  11   0   4   0|180  17  12   0   0|  57k  139k|5.0   0 7.0
21-08 15:46:11|  2  21  77   0   0   0| 126M 21.6M  251M 3429M| 2144  15354 |   0     0 |   0     0 |1374B   19k|  9  11   0   2   0|180  17  12   0   0|  58k  142k|4.0   0 5.0
21-08 15:46:12|  2  17  81   0   0   0| 127M 21.6M  251M 3429M| 2144  15354 |   0     0 |   0     0 |1248B   18k|  9  11   0   2   0|180  17  12   0   0|  58k  142k|2.0   0 9.0
