"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-21-15-27-08-log.csv 1 360",,,,"Date:","21 Aug 2022 15:27:08 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","files","inodes","read","writ","reads","writs","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","int","csw","run","blk","new"
21-08 15:27:08,3.619,19.814,76.385,0.149,0.0,0.034,132214784.0,22069248.0,263094272.0,3596886016.0,2112.0,15350.0,518298.811,8036.032,11.120,1.039,0.0,0.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,48250.785,129269.077,0.001,0.0,6.033
21-08 15:27:09,1.466,15.543,82.991,0.0,0.0,0.0,131809280.0,22069248.0,263110656.0,3597275136.0,2144.0,15363.0,0.0,0.0,0.0,0.0,1122.0,19826.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,31447.0,113055.0,6.0,0.0,8.0
21-08 15:27:10,1.441,21.037,77.522,0.0,0.0,0.0,131842048.0,22069248.0,263110656.0,3597242368.0,2176.0,15363.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,43307.0,127167.0,0.0,0.0,2.0
21-08 15:27:11,2.017,20.749,77.233,0.0,0.0,0.0,131842048.0,22069248.0,263110656.0,3597242368.0,2176.0,15363.0,0.0,0.0,0.0,0.0,1278.0,20947.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,43196.0,126876.0,1.0,0.0,5.0
21-08 15:27:12,2.128,20.973,76.900,0.0,0.0,0.0,132222976.0,22069248.0,263114752.0,3596857344.0,2144.0,15363.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,57582.0,142063.0,6.0,0.0,5.0
21-08 15:27:13,2.147,20.552,77.301,0.0,0.0,0.0,131706880.0,22069248.0,263114752.0,3597373440.0,2144.0,15363.0,0.0,0.0,0.0,0.0,1122.0,19826.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,58274.0,142805.0,3.0,0.0,5.0
21-08 15:27:14,6.344,22.054,71.601,0.0,0.0,0.0,131653632.0,22077440.0,263114752.0,3597418496.0,2144.0,15355.0,0.0,73728.0,0.0,4.0,1248.0,19826.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,56846.0,140376.0,7.0,0.0,7.0
21-08 15:27:15,3.869,23.214,72.619,0.0,0.0,0.298,132460544.0,22077440.0,263127040.0,3596599296.0,2176.0,15360.0,0.0,0.0,0.0,0.0,1278.0,18885.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,57063.0,142389.0,2.0,0.0,9.0
21-08 15:27:16,1.242,23.292,75.155,0.0,0.0,0.311,132427776.0,22077440.0,263127040.0,3596632064.0,2176.0,15360.0,0.0,0.0,0.0,0.0,1512.0,20193.0,9.0,11.0,0.0,1.0,0.0,180.0,17.0,12.0,0.0,0.0,57771.0,141736.0,3.0,0.0,5.0
