[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
21-08 15:27:08|  4  20  76   0   0   0| 126M 21.0M  251M 3430M| 2112  15350 | 506k 8036B|  11     1 |   0     0 |  9  11   0   1   0|180  17  12   0   0|  48k  129k|0.0   0 6.0
21-08 15:27:09|  1  16  83   0   0   0| 126M 21.0M  251M 3431M| 2144  15363 |   0     0 |   0     0 |1122B   19k|  9  11   0   1   0|180  17  12   0   0|  31k  113k|6.0   0 8.0
21-08 15:27:10|  1  21  78   0   0   0| 126M 21.0M  251M 3431M| 2176  15363 |   0     0 |   0     0 |1248B   19k|  9  11   0   1   0|180  17  12   0   0|  43k  127k|  0   0 2.0
21-08 15:27:11|  2  21  77   0   0   0| 126M 21.0M  251M 3431M| 2176  15363 |   0     0 |   0     0 |1278B   20k|  9  11   0   1   0|180  17  12   0   0|  43k  127k|1.0   0 5.0
21-08 15:27:12|  2  21  77   0   0   0| 126M 21.0M  251M 3430M| 2144  15363 |   0     0 |   0     0 |1248B   18k|  9  11   0   1   0|180  17  12   0   0|  58k  142k|6.0   0 5.0
21-08 15:27:13|  2  21  77   0   0   0| 126M 21.0M  251M 3431M| 2144  15363 |   0     0 |   0     0 |1122B   19k|  9  11   0   1   0|180  17  12   0   0|  58k  143k|3.0   0 5.0
21-08 15:27:14|  6  22  72   0   0   0| 126M 21.1M  251M 3431M| 2144  15355 |   0    72k|   0     4 |1248B   19k|  9  11   0   1   0|180  17  12   0   0|  57k  140k|7.0   0 7.0
21-08 15:27:15|  4  23  73   0   0   0| 126M 21.1M  251M 3430M| 2176  15360 |   0     0 |   0     0 |1278B   18k|  9  11   0   1   0|180  17  12   0   0|  57k  142k|2.0   0 9.0
21-08 15:27:16|  1  23  75   0   0   0| 126M 21.1M  251M 3430M| 2176  15360 |   0     0 |   0     0 |1512B   20k|  9  11   0   1   0|180  17  12   0   0|  58k  142k|3.0   0 5.0
21-08 15:27:17|  3  20  77   0   0   0| 126M 21.1M  251M 3430M| 2176  15360 |   0     0 |   0     0 |1344B   20k|  9  11   0   1   0|180  17  12   0   0|  58k  142k|2.0   0 5.0
21-08 15:27:18|  8  23  69   0   0   0| 126M 21.1M  251M 3430M| 2176  15356 |   0     0 |   0     0 |1314B   18k|  9  11   0   1   0|180  17  12   0   0|  54k  132k|3.0   0  13
21-08 15:27:19|  3  18  79   0   0   0| 126M 21.1M  251M 3430M| 2176  15364 |   0    24k|   0     4 |1344B   20k|  9  11   0   1   0|180  17  12   0   0|  46k  131k|4.0   0  10
21-08 15:27:20|  1  13  86   0   0   0| 126M 21.1M  251M 3430M| 2176  15361 |   0     0 |   0     0 |1248B   18k|  9  11   0   1   0|180  17  12   0   0|  44k  128k|5.0   0 5.0
21-08 15:27:21|  1  20  79   0   0   0| 126M 21.1M  251M 3430M| 2176  15361 |   0     0 |   0     0 |1188B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  128k|3.0   0 5.0
21-08 15:27:22|  1  16  83   0   0   0| 126M 21.1M  251M 3430M| 2176  15361 |   0   136k|   0    32 |1248B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  128k|3.0   0 5.0
21-08 15:27:23|  2  16  83   0   0   0| 126M 21.1M  251M 3430M| 2176  15361 |   0     0 |   0     0 |1188B   18k|  9  11   0   1   0|180  17  12   0   0|  44k  128k|6.0   0 5.0
21-08 15:27:24|  1  17  82   0   0   0| 126M 21.1M  251M 3430M| 2176  15361 |   0    24k|   0     4 |1182B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  128k|6.0   0 5.0
21-08 15:27:25|  1  15  84   0   0   0| 126M 21.1M  251M 3430M| 2176  15361 |   0     0 |   0     0 |1314B   19k|  9  11   0   1   0|180  17  12   0   0|  44k  128k|5.0   0 5.0
21-08 15:27:26|  9  16  75   0   0   0| 127M 21.1M  251M 3430M| 2144  15359 |   0     0 |   0     0 |1248B   20k|  9  11   0   1   0|180  17  12   0   0|  45k  129k|3.0   0 7.0
