"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-29-07-13-00-log.csv 1 360",,,,"Date:","29 Aug 2022 07:13:00 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","files","inodes","read","writ","reads","writs","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","int","csw","run","blk","new"
29-08 07:13:00,4.787,18.173,76.297,0.671,0.0,0.072,129040384.0,25739264.0,262377472.0,3597107200.0,2048.0,17071.0,2410679.894,21535.518,52.176,1.229,0.0,0.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,39901.124,107756.809,0.006,0.0,8.647
29-08 07:13:01,1.127,23.380,75.211,0.282,0.0,0.0,129302528.0,25739264.0,262410240.0,3596812288.0,2080.0,17071.0,0.0,114688.0,0.0,4.0,1411.0,20958.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,44050.0,128084.0,4.0,0.0,5.0
29-08 07:13:02,1.143,22.571,76.286,0.0,0.0,0.0,129142784.0,25739264.0,262410240.0,3596972032.0,2080.0,17071.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43965.0,127853.0,5.0,0.0,5.0
29-08 07:13:03,1.183,19.822,78.994,0.0,0.0,0.0,129003520.0,25739264.0,262410240.0,3597111296.0,2080.0,17071.0,0.0,0.0,0.0,0.0,1351.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43743.0,127737.0,4.0,0.0,5.0
29-08 07:13:04,1.201,18.919,79.580,0.0,0.0,0.300,129048576.0,25739264.0,262414336.0,3597062144.0,2080.0,17071.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,42819.0,125674.0,3.0,0.0,5.0
29-08 07:13:05,6.269,22.090,71.642,0.0,0.0,0.0,129900544.0,25739264.0,262414336.0,3596210176.0,2080.0,17069.0,0.0,0.0,0.0,0.0,1446.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,49563.0,130322.0,2.0,0.0,11.0
29-08 07:13:06,2.830,19.811,77.358,0.0,0.0,0.0,129675264.0,25739264.0,262414336.0,3596435456.0,2080.0,17067.0,0.0,0.0,0.0,0.0,1254.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58311.0,142873.0,5.0,0.0,2.0
29-08 07:13:07,1.858,21.981,75.851,0.0,0.0,0.310,129638400.0,25739264.0,262418432.0,3596468224.0,2080.0,17067.0,0.0,32768.0,0.0,4.0,1182.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58109.0,142690.0,1.0,0.0,5.0
29-08 07:13:08,1.488,20.833,77.381,0.0,0.0,0.298,129798144.0,25739264.0,262418432.0,3596308480.0,2048.0,17083.0,0.0,0.0,0.0,0.0,1188.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43997.0,126997.0,0.0,0.0,10.0
