[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
29-08 07:13:00|  5  18  76   1   0   0| 123M 24.5M  250M 3430M| 2048  17071 |2354k   21k|  52     1 |   0     0 |  9  10   0   2   0|178  16  12   0   0|  40k  108k|0.0   0 8.6
29-08 07:13:01|  1  23  75   0   0   0| 123M 24.5M  250M 3430M| 2080  17071 |   0   112k|   0     4 |1411B   20k|  9  10   0   2   0|178  16  12   0   0|  44k  128k|4.0   0 5.0
29-08 07:13:02|  1  23  76   0   0   0| 123M 24.5M  250M 3430M| 2080  17071 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|5.0   0 5.0
29-08 07:13:03|  1  20  79   0   0   0| 123M 24.5M  250M 3430M| 2080  17071 |   0     0 |   0     0 |1351B   19k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|4.0   0 5.0
29-08 07:13:04|  1  19  80   0   0   0| 123M 24.5M  250M 3430M| 2080  17071 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  43k  126k|3.0   0 5.0
29-08 07:13:05|  6  22  72   0   0   0| 124M 24.5M  250M 3430M| 2080  17069 |   0     0 |   0     0 |1446B   19k|  9  10   0   1   0|178  16  12   0   0|  50k  130k|2.0   0  11
29-08 07:13:06|  3  20  77   0   0   0| 124M 24.5M  250M 3430M| 2080  17067 |   0     0 |   0     0 |1254B   20k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|5.0   0 2.0
29-08 07:13:07|  2  22  76   0   0   0| 124M 24.5M  250M 3430M| 2080  17067 |   0    32k|   0     4 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|1.0   0 5.0
29-08 07:13:08|  1  21  77   0   0   0| 124M 24.5M  250M 3430M| 2048  17083 |   0     0 |   0     0 |1188B   19k|  9  10   0   1   0|178  16  12   0   0|  44k  127k|  0   0  10
29-08 07:13:09|  2  20  78   0   0   0| 124M 24.5M  250M 3430M| 2080  17080 |   0     0 |   0     0 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  44k  129k|2.0   0 5.0
29-08 07:13:10|  8  17  75   0   0   0| 122M 24.5M  251M 3431M| 2048  17072 | 528k    0 |   8     0 |1188B   18k|  9  10   0   1   0|179  16  12   0   0|  43k  126k|2.0   0 7.0
29-08 07:13:11|  6  19  75   0   0   0| 124M 24.5M  251M 3429M| 2080  17077 |   0     0 |   0     0 |1248B   20k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|4.0   0 5.0
29-08 07:13:12|  1  17  82   0   0   0| 124M 24.5M  251M 3429M| 2080  17077 |   0    32k|   0     4 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  57k  142k|4.0   0 5.0
29-08 07:13:13|  1  21  78   0   0   0| 124M 24.5M  251M 3429M| 2080  17077 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|2.0   0 5.0
29-08 07:13:14|  1  19  80   0   0   0| 124M 24.5M  251M 3429M| 2080  17077 |   0     0 |   0     0 |1188B   20k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|2.0   0 5.0
29-08 07:13:15|  8  19  73   0   0   0| 124M 24.5M  251M 3429M| 2112  17074 |   0     0 |   0     0 |1116B   14k|  9  10   0   1   0|178  16  12   0   0|  55k  137k|5.0   0  13
29-08 07:13:16|  2  17  81   0   0   0| 124M 24.5M  251M 3429M| 2112  17074 |   0     0 |   0     0 |1254B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|4.0   0 5.0
29-08 07:13:17|  1  19  80   0   0   0| 124M 24.5M  251M 3429M| 2112  17074 |   0    32k|   0     4 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 5.0
29-08 07:13:18|  1  18  81   0   0   0| 124M 24.5M  251M 3429M| 2112  17082 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|1.0   0  10
29-08 07:13:19|  3  17  80   0   0   0| 124M 24.5M  251M 3429M| 2080  17079 |   0     0 |   0     0 |1415B   20k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|5.0   0 5.0
29-08 07:13:20|  3  20  77   0   0   0| 124M 24.5M  251M 3429M| 2080  17083 |   0     0 |   0     0 |1442B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|5.0   0 8.0
29-08 07:13:21|  2  18  80   0   0   0| 124M 24.5M  251M 3429M| 2080  17081 |   0     0 |   0     0 |1345B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|5.0   0 5.0
29-08 07:13:22| 13  20  67   0   0   0| 124M 24.5M  251M 3429M| 2048  17078 |   0    32k|   0     4 |1188B   20k|  9  10   0   1   0|178  16  12   0   0|  49k  133k|6.0   0 7.0
29-08 07:13:23|  1  19  80   0   0   0| 124M 24.5M  251M 3429M| 2048  17078 |   0     0 |   0     0 |1248B   18k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|4.0   0 5.0
29-08 07:13:24|  1  20  79   0   0   0| 124M 24.5M  251M 3429M| 2048  17078 |   0     0 |   0     0 |1122B   19k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|  0   0 5.0
29-08 07:13:25|  9  21  70   0   0   0| 124M 24.5M  251M 3429M| 2080  17074 |   0     0 |   0     0 |1446B   19k|  9  10   0   1   0|178  16  12   0   0|  49k  129k|3.0   0  13
29-08 07:13:26|  2  19  79   0   0   0| 124M 24.5M  251M 3429M| 2080  17074 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  144k|5.0   0 5.0
29-08 07:13:27|  1  19  80   0   0   0| 124M 24.5M  251M 3429M| 2080  17074 |   0    32k|   0     4 |1408B   20k|  9  10   0   1   0|178  16  12   0   0|  58k  144k|4.0   0 5.0
29-08 07:13:28|  2  20  78   0   0   0| 125M 24.5M  251M 3429M| 2112  17079 |   0     0 |   0     0 |1188B   19k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|3.0   0  10
29-08 07:13:29|  1  21  78   0   0   0| 124M 24.5M  251M 3429M| 2112  17079 |   0  8192B|   0     2 |1314B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  144k|4.0   0 5.0
29-08 07:13:30|  2  13  85   0   0   0| 124M 24.5M  251M 3429M| 2112  17079 |   0     0 |   0     0 |1122B   19k|  9  10   0   1   0|178  16  12   0   0|  58k  144k|5.0   0 5.0
29-08 07:13:31|  1  13  86   0   0   0| 124M 24.5M  251M 3429M| 2112  17079 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  144k|3.0   0 5.0
29-08 07:13:32|  1  20  79   0   0   0| 124M 24.5M  251M 3429M| 2112  17079 |   0    56k|   0     4 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  58k  144k|3.0   0 5.0
29-08 07:13:33|  9  22  69   0   0   0| 124M 24.5M  251M 3429M| 2080  17077 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  53k  138k|4.0   0 7.0
29-08 07:13:34|  1  20  78   0   0   0| 125M 24.6M  251M 3428M| 2080  17077 |8192B  184k|   2    22 |1314B   20k|  9  10   0   1   0|178  16  12   0   0|  41k  124k|6.0   0 5.0
29-08 07:13:35|  8  20  73   0   0   0| 125M 24.6M  251M 3428M| 2080  17074 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  38k  119k|2.0   0  13
