usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
2.663,25.444,71.598,0.296,0.0,0.0,127623168.0,19804160.0,262402048.0,3604434944.0,2048.0,16989.0,0.0,98304.0,0.0,4.0,1502.0,21353.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,54288.0,138289.0,4.0,0.0,8.0
1.262,21.767,76.972,0.0,0.0,0.0,127905792.0,19804160.0,262410240.0,3604144128.0,2048.0,16989.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57914.0,142367.0,3.0,0.0,5.0
4.249,29.745,66.006,0.0,0.0,0.0,128421888.0,19804160.0,262410240.0,3603628032.0,2080.0,16985.0,0.0,0.0,0.0,0.0,1316.0,18861.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,55580.0,135952.0,5.0,0.0,8.0
5.136,19.637,75.227,0.0,0.0,0.0,128675840.0,19804160.0,262414336.0,3603369984.0,2080.0,16985.0,0.0,0.0,0.0,0.0,1357.0,20923.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,42498.0,125849.0,3.0,0.0,5.0
3.116,16.431,80.453,0.0,0.0,0.0,128675840.0,19804160.0,262414336.0,3603369984.0,2048.0,16985.0,0.0,0.0,0.0,0.0,1314.0,18861.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,28325.0,108408.0,4.0,0.0,5.0
0.822,20.822,78.356,0.0,0.0,0.0,128675840.0,19804160.0,262414336.0,3603369984.0,2048.0,16985.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,29184.0,109708.0,3.0,0.0,5.0
1.416,17.847,80.737,0.0,0.0,0.0,128667648.0,19812352.0,262414336.0,3603369984.0,2048.0,16985.0,0.0,32768.0,0.0,4.0,1248.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,29148.0,109536.0,1.0,0.0,5.0
1.671,19.499,78.83,0.0,0.0,0.0,128663552.0,19812352.0,262418432.0,3603369984.0,2048.0,16985.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,31663.0,112616.0,1.0,0.0,5.0
1.929,19.293,78.778,0.0,0.0,0.0,128405504.0,19812352.0,262418432.0,3603628032.0,2048.0,16985.0,0.0,0.0,0.0,0.0,1308.0,19868.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58116.0,142341.0,1.0,0.0,5.0
13.291,19.62,66.772,0.316,0.0,0.0,128573440.0,19812352.0,262696960.0,3603181568.0,2016.0,16996.0,540672.0,0.0,8.0,0.0,1355.0,19061.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,53416.0,134542.0,1.0,0.0,12.0
