[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
29-08 07:24:00|  5  18  76   1   0   0| 122M 18.9M  250M 3438M| 2048  16979 |2812k 1153B|  61     0 |   0     0 |  9  10   0   1   0|178  16  12   0   0|  39k  103k|0.0   0 9.3
29-08 07:24:01|  3  25  72   0   0   0| 122M 18.9M  250M 3437M| 2048  16989 |   0    96k|   0     4 |1502B   21k|  9  10   0   1   0|178  16  12   0   0|  54k  138k|4.0   0 8.0
29-08 07:24:02|  1  22  77   0   0   0| 122M 18.9M  250M 3437M| 2048  16989 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  142k|3.0   0 5.0
29-08 07:24:03|  4  30  66   0   0   0| 122M 18.9M  250M 3437M| 2080  16985 |   0     0 |   0     0 |1316B   18k|  9  10   0   1   0|178  16  12   0   0|  56k  136k|5.0   0 8.0
29-08 07:24:04|  5  20  75   0   0   0| 123M 18.9M  250M 3436M| 2080  16985 |   0     0 |   0     0 |1357B   20k|  9  10   0   1   0|178  16  12   0   0|  42k  126k|3.0   0 5.0
29-08 07:24:05|  3  16  80   0   0   0| 123M 18.9M  250M 3436M| 2048  16985 |   0     0 |   0     0 |1314B   18k|  9  10   0   1   0|178  16  12   0   0|  28k  108k|4.0   0 5.0
29-08 07:24:06|  1  21  78   0   0   0| 123M 18.9M  250M 3436M| 2048  16985 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  29k  110k|3.0   0 5.0
29-08 07:24:07|  1  18  81   0   0   0| 123M 18.9M  250M 3436M| 2048  16985 |   0    32k|   0     4 |1248B   20k|  9  10   0   1   0|178  16  12   0   0|  29k  110k|1.0   0 5.0
29-08 07:24:08|  2  19  79   0   0   0| 123M 18.9M  250M 3436M| 2048  16985 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  32k  113k|1.0   0 5.0
29-08 07:24:09|  2  19  79   0   0   0| 122M 18.9M  250M 3437M| 2048  16985 |   0     0 |   0     0 |1308B   19k|  9  10   0   1   0|178  16  12   0   0|  58k  142k|1.0   0 5.0
29-08 07:24:10| 13  20  67   0   0   0| 123M 18.9M  251M 3436M| 2016  16996 | 528k    0 |   8     0 |1355B   19k|  9  10   0   1   0|178  16  12   0   0|  53k  135k|1.0   0  12
29-08 07:24:11|  3  18  79   0   0   0| 123M 18.9M  251M 3436M| 2048  16993 |   0     0 |   0     0 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  44k  125k|5.0   0 5.0
29-08 07:24:12|  2  20  78   0   0   0| 123M 18.9M  251M 3436M| 2048  16993 |   0    32k|   0     4 |1351B   20k|  9  10   0   1   0|178  16  12   0   0|  44k  125k|1.0   0 5.0
29-08 07:24:13|  4  20  76   0   0   0| 123M 18.9M  251M 3436M| 2048  16990 |   0     0 |   0     0 |1116B   16k|  9  10   0   1   0|178  16  12   0   0|  46k  127k|5.0   0 8.0
29-08 07:24:14|  6  20  74   0   0   0| 122M 18.9M  251M 3437M| 2080  16990 |   0     0 |   0     0 |1386B   22k|  9  10   0   1   0|178  16  12   0   0|  57k  138k|1.0   0  10
29-08 07:24:15|  3  23  74   0   0   0| 122M 18.9M  251M 3437M| 2080  16990 |   0     0 |   0     0 |1417B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|1.0   0 5.0
29-08 07:24:16|  2  20  78   0   0   0| 122M 18.9M  251M 3437M| 2080  16990 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  48k  131k|6.0   0 6.0
29-08 07:24:17|  2  21  78   0   0   0| 122M 18.9M  251M 3437M| 2080  16990 |   0    32k|   0     4 |1248B   20k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|5.0   0 9.0
29-08 07:24:18|  2  25  73   0   0   0| 122M 18.9M  251M 3437M| 2080  16990 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|6.0   0 5.0
29-08 07:24:19|  2  18  80   0   0   0| 122M 18.9M  251M 3437M| 2080  16990 |   0     0 |   0     0 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|2.0   0 5.0
29-08 07:24:20|  3  20  77   0   0   0| 122M 18.9M  251M 3436M| 2048  16998 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  141k|7.0   0  10
29-08 07:24:21|  4  21  75   0   0   0| 120M 18.9M  251M 3439M| 2048  16978 |   0     0 |   0     0 |1502B   20k|  9  10   0   1   0|178  16  12   0   0|  50k  134k|7.0   0 8.0
29-08 07:24:22|  8  19  73   0   0   0| 123M 18.9M  251M 3436M| 2048  16990 |   0    32k|   0     4 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  46k  129k|4.0   0 7.0
29-08 07:24:23|  4  17  79   0   0   0| 123M 18.9M  251M 3436M| 2048  16986 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  44k  127k| 11   0 8.0
29-08 07:24:24|  5  21  74   0   0   0| 123M 18.9M  251M 3436M| 1984  16986 |   0     0 |   0     0 |1122B   20k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|4.0   0  10
