"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-29-07-36-00-log.csv 1 360",,,,"Date:","29 Aug 2022 07:36:00 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","files","inodes","read","writ","reads","writs","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","int","csw","run","blk","new"
29-08 07:36:00,6.283,18.931,73.814,0.923,0.0,0.049,128729088.0,19918848.0,262385664.0,3603230720.0,2016.0,16977.0,3278080.295,1186.040,70.039,0.414,0.0,0.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,40350.196,105663.212,0.008,0.0,11.222
29-08 07:36:01,5.136,17.523,77.039,0.302,0.0,0.0,129146880.0,19927040.0,262410240.0,3602780160.0,2080.0,16985.0,0.0,98304.0,0.0,4.0,1436.0,19291.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,41723.0,123957.0,5.0,0.0,11.0
29-08 07:36:02,7.059,24.412,68.529,0.0,0.0,0.0,129437696.0,19927040.0,262410240.0,3602489344.0,2112.0,16985.0,0.0,0.0,0.0,0.0,1122.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,55094.0,136862.0,2.0,0.0,10.0
29-08 07:36:03,1.572,21.384,77.044,0.0,0.0,0.0,129454080.0,19927040.0,262410240.0,3602472960.0,2112.0,16985.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57615.0,142024.0,2.0,0.0,5.0
29-08 07:36:04,3.438,20.0,76.562,0.0,0.0,0.0,129282048.0,19927040.0,262414336.0,3602640896.0,2112.0,16985.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57552.0,141899.0,2.0,0.0,5.0
29-08 07:36:05,3.333,24.242,72.424,0.0,0.0,0.0,129277952.0,19927040.0,262414336.0,3602644992.0,2112.0,16985.0,0.0,0.0,0.0,0.0,1314.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57374.0,140661.0,4.0,0.0,5.0
29-08 07:36:06,2.540,19.365,78.095,0.0,0.0,0.0,129302528.0,19927040.0,262414336.0,3602620416.0,2112.0,16985.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58327.0,143108.0,1.0,0.0,0.0
29-08 07:36:07,2.597,18.506,78.896,0.0,0.0,0.0,129294336.0,19935232.0,262414336.0,3602620416.0,2112.0,16985.0,0.0,32768.0,0.0,4.0,1248.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58126.0,142539.0,1.0,0.0,5.0
29-08 07:36:08,3.364,22.630,74.006,0.0,0.0,0.0,129531904.0,19935232.0,262418432.0,3602378752.0,2080.0,17001.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57765.0,141825.0,3.0,0.0,10.0
29-08 07:36:09,1.905,21.905,76.190,0.0,0.0,0.0,129822720.0,19935232.0,262418432.0,3602087936.0,2080.0,16998.0,0.0,0.0,0.0,0.0,1415.0,20092.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57555.0,141140.0,2.0,0.0,5.0
29-08 07:36:10,1.911,20.701,77.389,0.0,0.0,0.0,129789952.0,19935232.0,262418432.0,3602120704.0,2080.0,16998.0,0.0,0.0,0.0,0.0,1285.0,19927.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57882.0,141772.0,2.0,0.0,5.0
29-08 07:36:11,11.607,20.833,67.560,0.0,0.0,0.0,129892352.0,19935232.0,262701056.0,3601735680.0,2112.0,16992.0,540672.0,0.0,8.0,0.0,1182.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,44024.0,123160.0,4.0,0.0,10.0
29-08 07:36:12,5.900,18.289,75.516,0.295,0.0,0.0,129916928.0,19943424.0,262701056.0,3601702912.0,2080.0,16992.0,0.0,32768.0,0.0,4.0,1122.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,41338.0,119976.0,6.0,0.0,10.0
29-08 07:36:13,2.141,15.596,82.263,0.0,0.0,0.0,129916928.0,19943424.0,262701056.0,3601702912.0,2080.0,16992.0,0.0,0.0,0.0,0.0,1382.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43905.0,125386.0,4.0,0.0,5.0
