[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
29-08 07:36:00|  6  19  74   1   0   0| 123M 19.0M  250M 3436M| 2016  16977 |3201k 1186B|  70     0 |   0     0 |  9  10   0   1   0|178  16  12   0   0|  40k  106k|0.0   0  11
29-08 07:36:01|  5  18  77   0   0   0| 123M 19.0M  250M 3436M| 2080  16985 |   0    96k|   0     4 |1436B   19k|  9  10   0   1   0|178  16  12   0   0|  42k  124k|5.0   0  11
29-08 07:36:02|  7  24  69   0   0   0| 123M 19.0M  250M 3436M| 2112  16985 |   0     0 |   0     0 |1122B   19k|  9  10   0   1   0|178  16  12   0   0|  55k  137k|2.0   0  10
29-08 07:36:03|  2  21  77   0   0   0| 123M 19.0M  250M 3436M| 2112  16985 |   0     0 |   0     0 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  58k  142k|2.0   0 5.0
29-08 07:36:04|  3  20  77   0   0   0| 123M 19.0M  250M 3436M| 2112  16985 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  142k|2.0   0 5.0
29-08 07:36:05|  3  24  72   0   0   0| 123M 19.0M  250M 3436M| 2112  16985 |   0     0 |   0     0 |1314B   20k|  9  10   0   1   0|178  16  12   0   0|  57k  141k|4.0   0 5.0
29-08 07:36:06|  3  19  78   0   0   0| 123M 19.0M  250M 3436M| 2112  16985 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|1.0   0   0
29-08 07:36:07|  3  19  79   0   0   0| 123M 19.0M  250M 3436M| 2112  16985 |   0    32k|   0     4 |1248B   20k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|1.0   0 5.0
29-08 07:36:08|  3  23  74   0   0   0| 124M 19.0M  250M 3435M| 2080  17001 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  142k|3.0   0  10
29-08 07:36:09|  2  22  76   0   0   0| 124M 19.0M  250M 3435M| 2080  16998 |   0     0 |   0     0 |1415B   20k|  9  10   0   1   0|178  16  12   0   0|  58k  141k|2.0   0 5.0
