usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
1.961,20.261,77.778,0.0,0.0,0.0,127188992.0,19943424.0,262451200.0,3604680704.0,2048.0,17059.0,368640.0,0.0,32.0,0.0,1304.0,19991.0,9.0,10.0,0.0,8.0,0.0,178.0,16.0,12.0,0.0,0.0,55441.0,139229.0,4.0,0.0,8.0
1.149,21.552,77.011,0.0,0.0,0.287,127295488.0,19943424.0,262410240.0,3604615168.0,2048.0,17057.0,0.0,0.0,0.0,0.0,1320.0,20156.0,9.0,10.0,0.0,8.0,0.0,178.0,16.0,12.0,0.0,0.0,43563.0,127461.0,5.0,0.0,5.0
2.035,21.512,76.453,0.0,0.0,0.0,127299584.0,19943424.0,262414336.0,3604606976.0,2080.0,17070.0,0.0,0.0,0.0,0.0,1382.0,18861.0,9.0,10.0,0.0,8.0,0.0,178.0,16.0,12.0,0.0,0.0,41087.0,122318.0,5.0,0.0,10.0
2.388,13.731,83.881,0.0,0.0,0.0,127299584.0,19943424.0,262414336.0,3604606976.0,2080.0,17070.0,0.0,0.0,0.0,0.0,1122.0,19826.0,9.0,10.0,0.0,8.0,0.0,178.0,16.0,12.0,0.0,0.0,30698.0,113625.0,2.0,0.0,5.0
1.176,20.294,78.529,0.0,0.0,0.0,127586304.0,19951616.0,262410240.0,3604316160.0,2080.0,17070.0,0.0,65536.0,0.0,4.0,1248.0,19826.0,9.0,10.0,0.0,8.0,0.0,178.0,16.0,12.0,0.0,0.0,43850.0,127685.0,3.0,0.0,5.0
3.604,22.523,73.874,0.0,0.0,0.0,127578112.0,19951616.0,262418432.0,3604316160.0,2080.0,17070.0,0.0,0.0,0.0,0.0,1254.0,19892.0,9.0,10.0,0.0,7.0,0.0,178.0,16.0,12.0,0.0,0.0,58106.0,141974.0,1.0,0.0,6.0
6.325,22.892,70.783,0.0,0.0,0.0,128081920.0,19951616.0,262422528.0,3603808256.0,2048.0,17062.0,0.0,0.0,0.0,0.0,1116.0,18795.0,9.0,10.0,0.0,7.0,0.0,178.0,16.0,12.0,0.0,0.0,55811.0,137328.0,0.0,0.0,13.0
1.929,14.791,83.28,0.0,0.0,0.0,128065536.0,19951616.0,262422528.0,3603824640.0,2016.0,17062.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,10.0,0.0,7.0,0.0,178.0,16.0,12.0,0.0,0.0,59954.0,146671.0,6.0,0.0,7.0
1.917,15.655,82.428,0.0,0.0,0.0,128077824.0,19951616.0,262426624.0,3603808256.0,1984.0,17062.0,0.0,0.0,0.0,0.0,1248.0,20857.0,9.0,10.0,0.0,7.0,0.0,178.0,16.0,12.0,0.0,0.0,59767.0,146267.0,2.0,0.0,2.0
8.615,17.846,73.231,0.308,0.0,0.0,125255680.0,19959808.0,262643712.0,3606405120.0,1888.0,17042.0,540672.0,32768.0,8.0,4.0,1188.0,18795.0,9.0,10.0,0.0,7.0,0.0,178.0,16.0,12.0,0.0,0.0,57258.0,142741.0,4.0,0.0,5.0
7.345,17.797,74.576,0.282,0.0,0.0,131207168.0,19968000.0,262987776.0,3600101376.0,1856.0,17069.0,606208.0,0.0,20.0,0.0,1182.0,18795.0,9.0,10.0,0.0,6.0,0.0,179.0,16.0,12.0,0.0,0.0,48061.0,136316.0,2.0,0.0,8.0
0.909,19.697,79.091,0.303,0.0,0.0,129691648.0,19972096.0,263499776.0,3601100800.0,1824.0,17084.0,999424.0,0.0,8.0,0.0,1188.0,20857.0,9.0,10.0,0.0,6.0,0.0,180.0,16.0,12.0,0.0,0.0,59725.0,147706.0,2.0,0.0,11.0
10.355,15.976,73.669,0.0,0.0,0.0,133259264.0,20107264.0,263942144.0,3596955648.0,1792.0,17104.0,1449984.0,0.0,24.0,0.0,1415.0,19061.0,9.0,10.0,0.0,6.0,0.0,179.0,16.0,12.0,0.0,0.0,58968.0,148102.0,5.0,0.0,16.0
6.534,16.761,76.42,0.0,0.0,0.284,133918720.0,20107264.0,264237056.0,3596001280.0,2016.0,17103.0,286720.0,0.0,10.0,0.0,3724.0,41696.0,9.0,10.0,0.0,7.0,0.0,179.0,16.0,12.0,0.0,0.0,47468.0,137088.0,7.0,0.0,27.0
1.875,19.688,78.438,0.0,0.0,0.0,131117056.0,20107264.0,264237056.0,3598802944.0,2080.0,17090.0,0.0,0.0,0.0,0.0,1248.0,20835.0,9.0,10.0,0.0,7.0,0.0,178.0,16.0,12.0,0.0,0.0,56677.0,141092.0,6.0,0.0,6.0
1.329,15.947,82.392,0.332,0.0,0.0,131063808.0,20115456.0,264290304.0,3598794752.0,2080.0,17091.0,98304.0,32768.0,4.0,4.0,132.0,1031.0,9.0,10.0,0.0,6.0,0.0,178.0,16.0,12.0,0.0,0.0,58531.0,142998.0,4.0,0.0,8.0
8.163,23.907,67.93,0.0,0.0,0.0,131497984.0,20115456.0,264290304.0,3598360576.0,2112.0,17088.0,0.0,0.0,0.0,0.0,60.0,0.0,9.0,10.0,0.0,6.0,0.0,178.0,16.0,12.0,0.0,0.0,55001.0,136290.0,4.0,0.0,17.0
1.32,20.792,77.888,0.0,0.0,0.0,132370432.0,20115456.0,264294400.0,3597484032.0,2080.0,17088.0,0.0,0.0,0.0,0.0,510.0,582.0,9.0,10.0,0.0,6.0,0.0,178.0,16.0,12.0,0.0,0.0,57696.0,142087.0,4.0,0.0,49.0
2.208,23.028,74.448,0.0,0.0,0.315,132296704.0,20115456.0,264294400.0,3597557760.0,2080.0,17088.0,0.0,0.0,0.0,0.0,330.0,270.0,9.0,10.0,0.0,6.0,0.0,178.0,16.0,12.0,0.0,0.0,57528.0,138488.0,2.0,0.0,29.0
2.719,20.242,77.039,0.0,0.0,0.0,132550656.0,20115456.0,264298496.0,3597299712.0,2080.0,17088.0,0.0,0.0,0.0,0.0,642.0,180.0,9.0,10.0,0.0,6.0,0.0,178.0,16.0,12.0,0.0,0.0,58885.0,130406.0,3.0,0.0,17.0
15.344,10.053,74.339,0.0,0.0,0.265,127512576.0,20148224.0,264302592.0,3602300928.0,1952.0,17029.0,57344.0,32768.0,14.0,4.0,27854.0,6874.0,9.0,9.0,0.0,5.0,2.0,173.0,17.0,12.0,0.0,0.0,15763.0,34506.0,1.0,0.0,15.0
22.25,4.25,73.25,0.0,0.0,0.25,124407808.0,20148224.0,264310784.0,3605397504.0,1984.0,17060.0,0.0,0.0,0.0,0.0,1159.0,1460.0,9.0,9.0,0.0,5.0,2.0,181.0,17.0,12.0,0.0,0.0,499.0,578.0,0.0,0.0,31.0
1.604,5.348,93.048,0.0,0.0,0.0,124682240.0,20148224.0,264310784.0,3605123072.0,2048.0,17075.0,0.0,0.0,0.0,0.0,3282.0,1412.0,9.0,10.0,0.0,5.0,2.0,180.0,18.0,12.0,0.0,0.0,10249.0,24343.0,4.0,0.0,17.0
1.905,20.317,77.778,0.0,0.0,0.0,124678144.0,20148224.0,264314880.0,3605123072.0,2048.0,17075.0,0.0,0.0,0.0,0.0,1461.0,21999.0,9.0,10.0,0.0,5.0,2.0,180.0,18.0,12.0,0.0,0.0,57628.0,141789.0,2.0,0.0,5.0
3.625,22.356,74.018,0.0,0.0,0.0,124678144.0,20148224.0,264314880.0,3605123072.0,2048.0,17075.0,0.0,0.0,0.0,0.0,1116.0,19589.0,9.0,10.0,0.0,5.0,2.0,180.0,18.0,12.0,0.0,0.0,58177.0,142898.0,3.0,0.0,5.0
2.83,20.126,77.044,0.0,0.0,0.0,124665856.0,20156416.0,264318976.0,3605123072.0,2048.0,17075.0,0.0,32768.0,0.0,4.0,1116.0,18558.0,9.0,10.0,0.0,5.0,2.0,180.0,18.0,12.0,0.0,0.0,58075.0,142729.0,4.0,0.0,5.0
8.282,21.166,70.245,0.0,0.0,0.307,124633088.0,20156416.0,264318976.0,3605155840.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1244.0,19589.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,54411.0,131595.0,3.0,0.0,13.0
3.135,21.317,75.549,0.0,0.0,0.0,124923904.0,20156416.0,264318976.0,3604865024.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1476.0,19949.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,58246.0,142626.0,3.0,0.0,21.0
1.929,19.614,78.457,0.0,0.0,0.0,124944384.0,20160512.0,264327168.0,3604832256.0,2048.0,17072.0,8192.0,8192.0,2.0,2.0,1266.0,20710.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,58274.0,142706.0,3.0,0.0,9.0
2.053,23.46,74.487,0.0,0.0,0.0,124940288.0,20160512.0,264331264.0,3604832256.0,2048.0,17072.0,0.0,0.0,0.0,0.0,1116.0,18558.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,51155.0,134430.0,7.0,0.0,5.0
1.923,22.527,75.549,0.0,0.0,0.0,124899328.0,20168704.0,264331264.0,3604865024.0,2048.0,17072.0,0.0,49152.0,0.0,4.0,1110.0,18558.0,9.0,10.0,0.0,4.0,2.0,180.0,18.0,12.0,0.0,0.0,37208.0,119969.0,6.0,0.0,5.0
