[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
29-08 07:48:00|  5   7  86   1   0   0| 121M 19.0M  250M 3438M| 1984  17009 |3971k 2408B|  86     1 |   0     0 |  9  10   0   9   0|178  16  12   0   0|6588    18k|0.0   0  14
29-08 07:48:01|  2  20  78   0   0   0| 121M 19.0M  250M 3438M| 2048  17059 | 360k    0 |  32     0 |1304B   20k|  9  10   0   8   0|178  16  12   0   0|  55k  139k|4.0   0 8.0
29-08 07:48:02|  1  22  77   0   0   0| 121M 19.0M  250M 3438M| 2048  17057 |   0     0 |   0     0 |1320B   20k|  9  10   0   8   0|178  16  12   0   0|  44k  127k|5.0   0 5.0
29-08 07:48:03|  2  22  76   0   0   0| 121M 19.0M  250M 3438M| 2080  17070 |   0     0 |   0     0 |1382B   18k|  9  10   0   8   0|178  16  12   0   0|  41k  122k|5.0   0  10
29-08 07:48:04|  2  14  84   0   0   0| 121M 19.0M  250M 3438M| 2080  17070 |   0     0 |   0     0 |1122B   19k|  9  10   0   8   0|178  16  12   0   0|  31k  114k|2.0   0 5.0
29-08 07:48:05|  1  20  79   0   0   0| 122M 19.0M  250M 3437M| 2080  17070 |   0    64k|   0     4 |1248B   19k|  9  10   0   8   0|178  16  12   0   0|  44k  128k|3.0   0 5.0
29-08 07:48:06|  4  23  74   0   0   0| 122M 19.0M  250M 3437M| 2080  17070 |   0     0 |   0     0 |1254B   19k|  9  10   0   7   0|178  16  12   0   0|  58k  142k|1.0   0 6.0
29-08 07:48:07|  6  23  71   0   0   0| 122M 19.0M  250M 3437M| 2048  17062 |   0     0 |   0     0 |1116B   18k|  9  10   0   7   0|178  16  12   0   0|  56k  137k|  0   0  13
29-08 07:48:08|  2  15  83   0   0   0| 122M 19.0M  250M 3437M| 2016  17062 |   0     0 |   0     0 |1188B   19k|  9  10   0   7   0|178  16  12   0   0|  60k  147k|6.0   0 7.0
29-08 07:48:09|  2  16  82   0   0   0| 122M 19.0M  250M 3437M| 1984  17062 |   0     0 |   0     0 |1248B   20k|  9  10   0   7   0|178  16  12   0   0|  60k  146k|2.0   0 2.0
