"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-29-08-08-00-log.csv 1 360",,,,"Date:","29 Aug 2022 08:08:00 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","files","inodes","read","writ","reads","writs","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","int","csw","run","blk","new"
29-08 08:08:00,4.023,18.716,76.741,0.465,0.0,0.055,127393792.0,19804160.0,262410240.0,3604656128.0,2016.0,16964.0,1667743.392,1051.548,35.660,0.242,0.0,0.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,45296.193,118225.946,0.0,0.0,7.567
29-08 08:08:01,1.515,17.576,80.909,0.0,0.0,0.0,127549440.0,19804160.0,262422528.0,3604488192.0,2048.0,16964.0,0.0,0.0,0.0,0.0,1547.0,21123.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43720.0,127730.0,3.0,0.0,5.0
29-08 08:08:02,2.687,20.0,77.015,0.0,0.0,0.299,127881216.0,19804160.0,262422528.0,3604156416.0,2048.0,16991.0,0.0,0.0,0.0,0.0,1376.0,19290.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,44001.0,127464.0,4.0,0.0,13.0
29-08 08:08:03,1.582,19.304,79.114,0.0,0.0,0.0,127799296.0,19804160.0,262422528.0,3604238336.0,2048.0,16988.0,0.0,0.0,0.0,0.0,1413.0,18962.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58725.0,143664.0,1.0,0.0,5.0
29-08 08:08:04,1.223,22.324,76.147,0.0,0.0,0.306,128069632.0,19804160.0,262426624.0,3603963904.0,2048.0,16988.0,0.0,0.0,0.0,0.0,1278.0,20947.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58607.0,143422.0,4.0,0.0,9.0
29-08 08:08:05,2.083,22.619,75.298,0.0,0.0,0.0,128069632.0,19804160.0,262426624.0,3603963904.0,2048.0,16990.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,59108.0,144463.0,3.0,0.0,1.0
29-08 08:08:06,6.364,23.030,70.606,0.0,0.0,0.0,128962560.0,19812352.0,262426624.0,3603062784.0,2080.0,16984.0,0.0,32768.0,0.0,4.0,1320.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,55232.0,136337.0,1.0,0.0,12.0
29-08 08:08:07,0.629,20.440,78.931,0.0,0.0,0.0,128811008.0,19812352.0,262426624.0,3603214336.0,2048.0,16984.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58631.0,143424.0,2.0,0.0,5.0
29-08 08:08:08,2.639,24.047,73.314,0.0,0.0,0.0,128700416.0,19812352.0,262430720.0,3603320832.0,2048.0,16984.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58686.0,143529.0,2.0,0.0,5.0
29-08 08:08:09,2.424,21.515,76.061,0.0,0.0,0.0,128548864.0,19812352.0,262430720.0,3603472384.0,2048.0,16984.0,0.0,0.0,0.0,0.0,1182.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58699.0,143617.0,5.0,0.0,5.0
29-08 08:08:10,9.748,20.440,69.811,0.0,0.0,0.0,128131072.0,19812352.0,262709248.0,3603611648.0,2016.0,16981.0,540672.0,0.0,8.0,0.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,53882.0,138447.0,2.0,0.0,7.0
29-08 08:08:11,1.852,20.370,77.469,0.309,0.0,0.0,128421888.0,19820544.0,262701056.0,3603320832.0,2016.0,16981.0,0.0,32768.0,0.0,4.0,1338.0,20947.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57073.0,141828.0,3.0,0.0,9.0
29-08 08:08:12,2.410,22.289,75.301,0.0,0.0,0.0,128376832.0,19820544.0,262713344.0,3603353600.0,2016.0,16982.0,0.0,0.0,0.0,0.0,1282.0,18979.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58713.0,143601.0,4.0,0.0,7.0
29-08 08:08:13,2.857,20.0,77.143,0.0,0.0,0.0,128409600.0,19820544.0,262713344.0,3603320832.0,2048.0,16986.0,0.0,0.0,0.0,0.0,1182.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57283.0,141137.0,2.0,0.0,8.0
29-08 08:08:14,0.647,19.741,79.612,0.0,0.0,0.0,128409600.0,19820544.0,262713344.0,3603320832.0,2048.0,16986.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57813.0,142595.0,3.0,0.0,5.0
29-08 08:08:15,1.791,25.075,73.134,0.0,0.0,0.0,128147456.0,19820544.0,262717440.0,3603578880.0,2048.0,16986.0,0.0,0.0,0.0,0.0,1248.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57626.0,142694.0,1.0,0.0,5.0
29-08 08:08:16,6.567,25.075,68.358,0.0,0.0,0.0,129552384.0,19828736.0,262721536.0,3602161664.0,2080.0,16983.0,0.0,32768.0,0.0,4.0,1320.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,53645.0,131282.0,2.0,0.0,13.0
29-08 08:08:17,2.395,24.251,73.353,0.0,0.0,0.0,129560576.0,19828736.0,262721536.0,3602153472.0,2080.0,16983.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57588.0,142705.0,1.0,0.0,5.0
29-08 08:08:18,1.893,20.820,77.287,0.0,0.0,0.0,129556480.0,19828736.0,262725632.0,3602153472.0,2080.0,16983.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57437.0,142315.0,2.0,0.0,5.0
29-08 08:08:19,1.205,25.0,73.795,0.0,0.0,0.0,129523712.0,19828736.0,262725632.0,3602186240.0,2080.0,16983.0,0.0,0.0,0.0,0.0,1182.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,57471.0,142367.0,4.0,0.0,5.0
29-08 08:08:20,2.071,24.260,73.669,0.0,0.0,0.0,129556480.0,19828736.0,262725632.0,3602153472.0,2080.0,16983.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,49986.0,132775.0,6.0,0.0,5.0
29-08 08:08:21,2.624,23.907,73.469,0.0,0.0,0.0,126787584.0,19836928.0,262725632.0,3604914176.0,2016.0,16965.0,0.0,32768.0,0.0,4.0,1547.0,21123.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,47785.0,130868.0,3.0,0.0,5.0
29-08 08:08:22,10.694,20.231,69.075,0.0,0.0,0.0,129966080.0,19836928.0,262733824.0,3601727488.0,2048.0,16984.0,0.0,0.0,0.0,0.0,1442.0,19357.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,39395.0,121036.0,0.0,0.0,10.0
29-08 08:08:23,2.882,18.156,78.963,0.0,0.0,0.0,129974272.0,19836928.0,262733824.0,3601719296.0,2048.0,16988.0,0.0,0.0,0.0,0.0,1345.0,19993.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,34825.0,117365.0,2.0,0.0,10.0
29-08 08:08:24,0.862,21.839,77.299,0.0,0.0,0.0,129974272.0,19836928.0,262733824.0,3601719296.0,2048.0,16988.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43963.0,126978.0,1.0,0.0,5.0
29-08 08:08:25,1.475,18.879,79.646,0.0,0.0,0.0,129974272.0,19836928.0,262733824.0,3601719296.0,2048.0,16988.0,0.0,0.0,0.0,0.0,1382.0,18861.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43838.0,126806.0,4.0,0.0,5.0
