[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
29-08 08:08:00|  4  19  77   0   0   0| 121M 18.9M  250M 3438M| 2016  16964 |1629k 1052B|  36     0 |   0     0 |  9  10   0   1   0|178  16  12   0   0|  45k  118k|  0   0 7.6
29-08 08:08:01|  2  18  81   0   0   0| 122M 18.9M  250M 3438M| 2048  16964 |   0     0 |   0     0 |1547B   21k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|3.0   0 5.0
29-08 08:08:02|  3  20  77   0   0   0| 122M 18.9M  250M 3437M| 2048  16991 |   0     0 |   0     0 |1376B   19k|  9  10   0   1   0|178  16  12   0   0|  44k  127k|4.0   0  13
29-08 08:08:03|  2  19  79   0   0   0| 122M 18.9M  250M 3437M| 2048  16988 |   0     0 |   0     0 |1413B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 5.0
29-08 08:08:04|  1  22  76   0   0   0| 122M 18.9M  250M 3437M| 2048  16988 |   0     0 |   0     0 |1278B   20k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|4.0   0 9.0
29-08 08:08:05|  2  23  75   0   0   0| 122M 18.9M  250M 3437M| 2048  16990 |   0     0 |   0     0 |1248B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|3.0   0 1.0
29-08 08:08:06|  6  23  71   0   0   0| 123M 18.9M  250M 3436M| 2080  16984 |   0    32k|   0     4 |1320B   20k|  9  10   0   1   0|178  16  12   0   0|  55k  136k|1.0   0  12
29-08 08:08:07|  1  20  79   0   0   0| 123M 18.9M  250M 3436M| 2048  16984 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|2.0   0 5.0
29-08 08:08:08|  3  24  73   0   0   0| 123M 18.9M  250M 3436M| 2048  16984 |   0     0 |   0     0 |1188B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|2.0   0 5.0
29-08 08:08:09|  2  22  76   0   0   0| 123M 18.9M  250M 3437M| 2048  16984 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|5.0   0 5.0
29-08 08:08:10| 10  20  70   0   0   0| 122M 18.9M  251M 3437M| 2016  16981 | 528k    0 |   8     0 |1188B   19k|  9  10   0   1   0|178  16  12   0   0|  54k  138k|2.0   0 7.0
29-08 08:08:11|  2  20  77   0   0   0| 122M 18.9M  251M 3436M| 2016  16981 |   0    32k|   0     4 |1338B   20k|  9  10   0   1   0|178  16  12   0   0|  57k  142k|3.0   0 9.0
29-08 08:08:12|  2  22  75   0   0   0| 122M 18.9M  251M 3436M| 2016  16982 |   0     0 |   0     0 |1282B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|4.0   0 7.0
29-08 08:08:13|  3  20  77   0   0   0| 122M 18.9M  251M 3436M| 2048  16986 |   0     0 |   0     0 |1182B   19k|  9  10   0   1   0|178  16  12   0   0|  57k  141k|2.0   0 8.0
29-08 08:08:14|  1  20  80   0   0   0| 122M 18.9M  251M 3436M| 2048  16986 |   0     0 |   0     0 |1188B   19k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|3.0   0 5.0
29-08 08:08:15|  2  25  73   0   0   0| 122M 18.9M  251M 3437M| 2048  16986 |   0     0 |   0     0 |1248B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|1.0   0 5.0
29-08 08:08:16|  7  25  68   0   0   0| 124M 18.9M  251M 3435M| 2080  16983 |   0    32k|   0     4 |1320B   19k|  9  10   0   1   0|178  16  12   0   0|  54k  131k|2.0   0  13
29-08 08:08:17|  2  24  73   0   0   0| 124M 18.9M  251M 3435M| 2080  16983 |   0     0 |   0     0 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|1.0   0 5.0
