"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-29-08-20-00-log.csv 1 360",,,,"Date:","29 Aug 2022 08:20:00 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","files","inodes","read","writ","reads","writs","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","int","csw","run","blk","new"
29-08 08:20:00,4.971,18.869,75.497,0.601,0.0,0.063,126251008.0,19939328.0,262385664.0,3605688320.0,2016.0,16960.0,2218092.729,929.991,47.345,0.301,0.0,0.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,44956.173,116522.445,0.005,0.0,8.309
29-08 08:20:01,3.125,24.716,71.591,0.284,0.0,0.284,126533632.0,19947520.0,262410240.0,3605372928.0,2080.0,16960.0,0.0,98304.0,0.0,4.0,1248.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,56284.0,140971.0,3.0,0.0,5.0
29-08 08:20:02,3.030,29.752,67.218,0.0,0.0,0.0,126373888.0,19947520.0,262418432.0,3605524480.0,2080.0,16973.0,0.0,0.0,0.0,0.0,1442.0,20321.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58427.0,142477.0,6.0,0.0,8.0
29-08 08:20:03,1.796,23.353,74.850,0.0,0.0,0.0,126283776.0,19947520.0,262418432.0,3605614592.0,2080.0,16973.0,0.0,0.0,0.0,0.0,1248.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58747.0,143685.0,3.0,0.0,5.0
29-08 08:20:04,2.589,16.505,80.906,0.0,0.0,0.0,126263296.0,19947520.0,262422528.0,3605630976.0,2080.0,16973.0,0.0,0.0,0.0,0.0,1266.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58791.0,143903.0,1.0,0.0,5.0
29-08 08:20:05,1.684,13.805,84.512,0.0,0.0,0.0,126263296.0,19947520.0,262422528.0,3605630976.0,2080.0,16974.0,0.0,0.0,0.0,0.0,1182.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58918.0,144186.0,1.0,0.0,4.0
29-08 08:20:06,1.274,19.427,79.299,0.0,0.0,0.0,126398464.0,19947520.0,262422528.0,3605495808.0,2080.0,16989.0,0.0,0.0,0.0,0.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58540.0,143276.0,4.0,0.0,6.0
29-08 08:20:07,2.222,18.730,79.048,0.0,0.0,0.0,126357504.0,19955712.0,262422528.0,3605528576.0,2080.0,16986.0,0.0,32768.0,0.0,4.0,1481.0,19061.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58693.0,143549.0,1.0,0.0,5.0
29-08 08:20:08,1.835,21.407,76.758,0.0,0.0,0.0,126128128.0,19955712.0,262426624.0,3605753856.0,2080.0,16986.0,0.0,0.0,0.0,0.0,1200.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58727.0,143660.0,1.0,0.0,5.0
29-08 08:20:09,8.108,21.622,70.270,0.0,0.0,0.0,126447616.0,19955712.0,262426624.0,3605434368.0,2112.0,16982.0,0.0,0.0,0.0,0.0,1213.0,15803.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,53167.0,134409.0,6.0,0.0,13.0
29-08 08:20:10,2.581,16.774,80.645,0.0,0.0,0.0,126513152.0,19955712.0,262426624.0,3605368832.0,2080.0,16982.0,0.0,0.0,0.0,0.0,1254.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58673.0,143551.0,1.0,0.0,5.0
29-08 08:20:11,9.940,20.783,68.976,0.301,0.0,0.0,126771200.0,20090880.0,262709248.0,3604692992.0,2048.0,16981.0,811008.0,0.0,12.0,0.0,1248.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,46901.0,130723.0,5.0,0.0,7.0
29-08 08:20:12,1.511,17.221,80.967,0.302,0.0,0.0,127287296.0,20099072.0,262701056.0,3604176896.0,2048.0,16981.0,0.0,32768.0,0.0,4.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43069.0,127616.0,3.0,0.0,5.0
