[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
29-08 08:20:00|  5  19  75   1   0   0| 120M 19.0M  250M 3439M| 2016  16960 |2166k  930B|  47     0 |   0     0 |  9  10   0   1   0|178  16  12   0   0|  45k  117k|0.0   0 8.3
29-08 08:20:01|  3  25  72   0   0   0| 121M 19.0M  250M 3438M| 2080  16960 |   0    96k|   0     4 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  56k  141k|3.0   0 5.0
29-08 08:20:02|  3  30  67   0   0   0| 121M 19.0M  250M 3438M| 2080  16973 |   0     0 |   0     0 |1442B   20k|  9  10   0   1   0|178  16  12   0   0|  58k  142k|6.0   0 8.0
29-08 08:20:03|  2  23  75   0   0   0| 120M 19.0M  250M 3439M| 2080  16973 |   0     0 |   0     0 |1248B   20k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|3.0   0 5.0
29-08 08:20:04|  3  17  81   0   0   0| 120M 19.0M  250M 3439M| 2080  16973 |   0     0 |   0     0 |1266B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 5.0
29-08 08:20:05|  2  14  85   0   0   0| 120M 19.0M  250M 3439M| 2080  16974 |   0     0 |   0     0 |1182B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 4.0
29-08 08:20:06|  1  19  79   0   0   0| 121M 19.0M  250M 3438M| 2080  16989 |   0     0 |   0     0 |1188B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|4.0   0 6.0
29-08 08:20:07|  2  19  79   0   0   0| 121M 19.0M  250M 3439M| 2080  16986 |   0    32k|   0     4 |1481B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 5.0
29-08 08:20:08|  2  21  77   0   0   0| 120M 19.0M  250M 3439M| 2080  16986 |   0     0 |   0     0 |1200B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 5.0
29-08 08:20:09|  8  22  70   0   0   0| 121M 19.0M  250M 3438M| 2112  16982 |   0     0 |   0     0 |1213B   15k|  9  10   0   1   0|178  16  12   0   0|  53k  134k|6.0   0  13
29-08 08:20:10|  3  17  81   0   0   0| 121M 19.0M  250M 3438M| 2080  16982 |   0     0 |   0     0 |1254B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 5.0
29-08 08:20:11| 10  21  69   0   0   0| 121M 19.2M  251M 3438M| 2048  16981 | 792k    0 |  12     0 |1248B   20k|  9  10   0   1   0|178  16  12   0   0|  47k  131k|5.0   0 7.0
29-08 08:20:12|  2  17  81   0   0   0| 121M 19.2M  251M 3437M| 2048  16981 |   0    32k|   0     4 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  43k  128k|3.0   0 5.0
29-08 08:20:13|  3  25  72   0   0   0| 121M 19.2M  251M 3437M| 2048  16981 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  43k  128k|2.0   0 5.0
29-08 08:20:14|  2  17  82   0   0   0| 121M 19.2M  251M 3437M| 2048  16981 |   0     0 |   0     0 |1188B   20k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|3.0   0 5.0
29-08 08:20:15|  2  18  80   0   0   0| 122M 19.2M  251M 3437M| 2048  16981 |   0     0 |   0     0 |1408B   19k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|4.0   0 5.0
29-08 08:20:16|  1  18  81   0   0   0| 121M 19.2M  251M 3437M| 2048  16989 |   0     0 |   0     0 |1200B   19k|  9  10   0   1   0|178  16  12   0   0|  43k  127k|5.0   0  10
29-08 08:20:17|  2  16  82   0   0   0| 121M 19.2M  251M 3437M| 2048  16986 |   0    32k|   0     4 |1314B   19k|  9  10   0   1   0|178  16  12   0   0|  43k  126k|5.0   0 5.0
