usr,sys,idl,wai,hiq,siq,used,buff,cach,free,files,inodes,read,writ,reads,writs,recv,send,lis,act,syn,tim,clo,tot,tcp,udp,raw,frg,int,csw,run,blk,new
2.432,20.365,77.204,0.0,0.0,0.0,128454656.0,19922944.0,262418432.0,3603468288.0,2080.0,17028.0,0.0,0.0,0.0,0.0,1678.0,20280.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,48120.0,132115.0,2.0,0.0,22.0
1.235,16.358,82.407,0.0,0.0,0.0,128598016.0,19922944.0,262418432.0,3603324928.0,2080.0,17030.0,0.0,0.0,0.0,0.0,1430.0,20923.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,43437.0,127079.0,1.0,0.0,5.0
2.679,19.94,77.381,0.0,0.0,0.0,128610304.0,19922944.0,262422528.0,3603308544.0,2080.0,17035.0,0.0,0.0,0.0,0.0,1650.0,19495.0,9.0,10.0,0.0,2.0,0.0,178.0,16.0,12.0,0.0,0.0,43766.0,127853.0,2.0,0.0,20.0
1.22,17.378,81.402,0.0,0.0,0.0,128577536.0,19922944.0,262422528.0,3603341312.0,2080.0,17035.0,0.0,0.0,0.0,0.0,1332.0,18885.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43699.0,127792.0,3.0,0.0,9.0
8.286,26.286,65.143,0.286,0.0,0.0,128602112.0,19931136.0,262414336.0,3603316736.0,2080.0,17031.0,0.0,65536.0,0.0,4.0,1716.0,21127.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,54845.0,135512.0,2.0,0.0,25.0
1.471,25.0,73.529,0.0,0.0,0.0,128868352.0,19931136.0,262422528.0,3603042304.0,2080.0,17031.0,0.0,0.0,0.0,0.0,1242.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58734.0,143700.0,1.0,0.0,5.0
2.439,21.037,76.22,0.0,0.0,0.305,128864256.0,19931136.0,262426624.0,3603042304.0,2080.0,17032.0,0.0,0.0,0.0,0.0,1338.0,20947.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58817.0,143831.0,4.0,0.0,8.0
2.719,21.148,76.133,0.0,0.0,0.0,128765952.0,19931136.0,262426624.0,3603140608.0,2080.0,17031.0,0.0,0.0,0.0,0.0,1242.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58936.0,144103.0,1.0,0.0,1.0
1.729,26.225,72.046,0.0,0.0,0.0,128733184.0,19931136.0,262426624.0,3603173376.0,2080.0,17031.0,0.0,0.0,0.0,0.0,1248.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58638.0,143488.0,1.0,0.0,5.0
8.671,24.566,66.763,0.0,0.0,0.0,129810432.0,19931136.0,262705152.0,3601817600.0,2080.0,17028.0,540672.0,0.0,8.0,0.0,1308.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,47160.0,130624.0,6.0,0.0,7.0
2.216,27.701,70.083,0.0,0.0,0.0,129798144.0,19939328.0,262709248.0,3601817600.0,2048.0,17036.0,0.0,32768.0,0.0,4.0,1182.0,17764.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,53158.0,137449.0,2.0,0.0,10.0
2.035,25.291,72.674,0.0,0.0,0.0,129798144.0,19939328.0,262709248.0,3601817600.0,2048.0,17033.0,0.0,0.0,0.0,0.0,1541.0,20092.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58861.0,143897.0,3.0,0.0,5.0
1.734,26.012,72.254,0.0,0.0,0.0,129773568.0,19939328.0,262709248.0,3601842176.0,2048.0,17033.0,0.0,0.0,0.0,0.0,1254.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58711.0,143559.0,1.0,0.0,5.0
2.579,25.788,71.633,0.0,0.0,0.0,129802240.0,19939328.0,262713344.0,3601809408.0,2048.0,17033.0,0.0,0.0,0.0,0.0,1399.0,18938.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58777.0,143717.0,1.0,0.0,5.0
7.781,23.055,69.164,0.0,0.0,0.0,129818624.0,19939328.0,262713344.0,3601793024.0,2080.0,17030.0,0.0,0.0,0.0,0.0,1380.0,18861.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,47737.0,127414.0,7.0,0.0,13.0
1.734,20.52,77.457,0.289,0.0,0.0,129798144.0,19947520.0,262717440.0,3601801216.0,2080.0,17030.0,0.0,32768.0,0.0,4.0,1374.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43842.0,127313.0,5.0,0.0,5.0
2.26,22.034,75.706,0.0,0.0,0.0,129806336.0,19947520.0,262717440.0,3601793024.0,2080.0,17030.0,0.0,0.0,0.0,0.0,1188.0,18861.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43211.0,126478.0,3.0,0.0,5.0
2.882,19.885,77.233,0.0,0.0,0.0,129548288.0,19947520.0,262717440.0,3602051072.0,2080.0,17030.0,0.0,0.0,0.0,0.0,1248.0,20857.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43579.0,127464.0,2.0,0.0,5.0
1.667,23.889,74.444,0.0,0.0,0.0,129511424.0,19947520.0,262721536.0,3602083840.0,2080.0,17030.0,0.0,0.0,0.0,0.0,1188.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43832.0,127721.0,6.0,0.0,5.0
1.183,19.822,78.994,0.0,0.0,0.0,129687552.0,19947520.0,262721536.0,3601907712.0,2048.0,17030.0,0.0,0.0,0.0,0.0,1248.0,19892.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43426.0,127507.0,5.0,0.0,5.0
9.275,23.188,67.536,0.0,0.0,0.0,129888256.0,19955712.0,262721536.0,3601698816.0,2048.0,17034.0,0.0,32768.0,0.0,4.0,1188.0,19826.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43197.0,126763.0,0.0,0.0,12.0
