[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
29-08 08:30:00|  8  19  71   1   0   0| 122M 19.0M  250M 3437M| 1984  17011 |4798k 2719B| 105     1 |   0     0 |  9  10   0   2   0|178  16  12   0   0|  35k   90k|0.0   0  14
29-08 08:30:01|  2  20  77   0   0   0| 123M 19.0M  250M 3437M| 2080  17028 |   0     0 |   0     0 |1678B   20k|  9  10   0   2   0|178  16  12   0   0|  48k  132k|2.0   0  22
29-08 08:30:02|  1  16  82   0   0   0| 123M 19.0M  250M 3436M| 2080  17030 |   0     0 |   0     0 |1430B   20k|  9  10   0   2   0|178  16  12   0   0|  43k  127k|1.0   0 5.0
29-08 08:30:03|  3  20  77   0   0   0| 123M 19.0M  250M 3436M| 2080  17035 |   0     0 |   0     0 |1650B   19k|  9  10   0   2   0|178  16  12   0   0|  44k  128k|2.0   0  20
29-08 08:30:04|  1  17  81   0   0   0| 123M 19.0M  250M 3436M| 2080  17035 |   0     0 |   0     0 |1332B   18k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|3.0   0 9.0
29-08 08:30:05|  8  26  65   0   0   0| 123M 19.0M  250M 3436M| 2080  17031 |   0    64k|   0     4 |1716B   21k|  9  10   0   1   0|178  16  12   0   0|  55k  136k|2.0   0  25
29-08 08:30:06|  1  25  74   0   0   0| 123M 19.0M  250M 3436M| 2080  17031 |   0     0 |   0     0 |1242B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 5.0
29-08 08:30:07|  2  21  76   0   0   0| 123M 19.0M  250M 3436M| 2080  17032 |   0     0 |   0     0 |1338B   20k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|4.0   0 8.0
29-08 08:30:08|  3  21  76   0   0   0| 123M 19.0M  250M 3436M| 2080  17031 |   0     0 |   0     0 |1242B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 1.0
29-08 08:30:09|  2  26  72   0   0   0| 123M 19.0M  250M 3436M| 2080  17031 |   0     0 |   0     0 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|1.0   0 5.0
29-08 08:30:10|  9  25  67   0   0   0| 124M 19.0M  251M 3435M| 2080  17028 | 528k    0 |   8     0 |1308B   19k|  9  10   0   1   0|178  16  12   0   0|  47k  131k|6.0   0 7.0
29-08 08:30:11|  2  28  70   0   0   0| 124M 19.0M  251M 3435M| 2048  17036 |   0    32k|   0     4 |1182B   17k|  9  10   0   1   0|178  16  12   0   0|  53k  137k|2.0   0  10
29-08 08:30:12|  2  25  73   0   0   0| 124M 19.0M  251M 3435M| 2048  17033 |   0     0 |   0     0 |1541B   20k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|3.0   0 5.0
29-08 08:30:13|  2  26  72   0   0   0| 124M 19.0M  251M 3435M| 2048  17033 |   0     0 |   0     0 |1254B   20k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 5.0
29-08 08:30:14|  3  26  72   0   0   0| 124M 19.0M  251M 3435M| 2048  17033 |   0     0 |   0     0 |1399B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  144k|1.0   0 5.0
29-08 08:30:15|  8  23  69   0   0   0| 124M 19.0M  251M 3435M| 2080  17030 |   0     0 |   0     0 |1380B   18k|  9  10   0   1   0|178  16  12   0   0|  48k  127k|7.0   0  13
29-08 08:30:16|  2  21  77   0   0   0| 124M 19.0M  251M 3435M| 2080  17030 |   0    32k|   0     4 |1374B   20k|  9  10   0   1   0|178  16  12   0   0|  44k  127k|5.0   0 5.0
29-08 08:30:17|  2  22  76   0   0   0| 124M 19.0M  251M 3435M| 2080  17030 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  43k  126k|3.0   0 5.0
29-08 08:30:18|  3  20  77   0   0   0| 124M 19.0M  251M 3435M| 2080  17030 |   0     0 |   0     0 |1248B   20k|  9  10   0   1   0|178  16  12   0   0|  44k  127k|2.0   0 5.0
29-08 08:30:19|  2  24  74   0   0   0| 124M 19.0M  251M 3435M| 2080  17030 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|6.0   0 5.0
29-08 08:30:20|  1  20  79   0   0   0| 124M 19.0M  251M 3435M| 2048  17030 |   0     0 |   0     0 |1248B   19k|  9  10   0   1   0|178  16  12   0   0|  43k  128k|5.0   0 5.0
29-08 08:30:21|  9  23  68   0   0   0| 124M 19.0M  251M 3435M| 2048  17034 |   0    32k|   0     4 |1188B   19k|  9  10   0   1   0|178  16  12   0   0|  43k  127k|  0   0  12
29-08 08:30:22|  2  23  75   0   0   0| 124M 19.0M  251M 3435M| 2048  17033 |   0     0 |   0     0 |1438B   18k|  9  10   0   1   0|178  16  12   0   0|  44k  127k|4.0   0 5.0
29-08 08:30:23|  3  22  75   0   0   0| 124M 19.0M  251M 3435M| 2080  17033 |   0     0 |   0     0 |1320B   19k|  9  10   0   1   0|178  16  12   0   0|  58k  144k|6.0   0 8.0
29-08 08:30:24|  3  24  73   0   0   0| 124M 19.0M  251M 3435M| 2080  17033 |   0     0 |   0     0 |1182B   19k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|5.0   0 5.0
29-08 08:30:25|  8  26  66   0   0   0| 124M 19.0M  251M 3434M| 2080  17029 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  46k  128k|6.0   0  13
29-08 08:30:26|  3  23  73   0   0   0| 124M 19.0M  251M 3434M| 2080  17029 |   0    32k|   0     4 |1182B   19k|  9  10   0   1   0|178  16  12   0   0|  50k  135k|6.0   0 9.0
29-08 08:30:27|  2  21  77   0   0   0| 124M 19.0M  251M 3434M| 2048  17025 |   0     0 |   0     0 |1254B   20k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|4.0   0 5.0
29-08 08:30:28|  1  18  81   0   0   0| 124M 19.0M  251M 3434M| 2016  17025 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  146k|4.0   0 5.0
29-08 08:30:29|  2  18  81   0   0   0| 124M 19.0M  251M 3434M| 1952  17025 |8192B 8192B|   2     2 |1188B   20k|  9  10   0   1   0|178  16  12   0   0|  57k  144k|1.0   0 5.0
29-08 08:30:30|  1  16  83   0   0   0| 124M 19.0M  251M 3435M| 1888  17025 |   0     0 |   0     0 |1182B   18k|  9  10   0   1   0|178  16  12   0   0|  61k  150k|3.0   0 5.0
29-08 08:30:31|  1  19  79   0   0   0| 124M 19.1M  251M 3435M| 1856  17030 |   0    48k|   0     4 |1188B   19k|  9  10   0   1   0|178  16  12   0   0|  61k  149k|1.0   0  10
29-08 08:30:32|  6  17  76   0   0   0| 122M 19.1M  251M 3437M| 1792  17011 |   0     0 |   0     0 |1481B   20k|  9  10   0   1   0|178  16  12   0   0|  60k  147k|4.0   0 5.0
29-08 08:30:33|  8  13  78   0   0   0| 123M 19.1M  251M 3435M| 1760  17027 |   0     0 |   0     0 |1122B   20k|  9  10   0   1   0|178  16  12   0   0|  50k  141k|1.0   0 7.0
29-08 08:30:34|  6  20  74   0   0   0| 124M 19.1M  251M 3435M| 2080  17023 |  24k  168k|   6    18 |3847B   21k|  9  10   0   2   0|178  16  12   0   0|  59k  144k|6.0   0  27
29-08 08:30:35|  8  21  71   0   0   0| 124M 19.1M  251M 3435M| 2080  17020 |   0     0 |   0     0 |1254B   18k|  9  10   0   2   0|178  16  12   0   0|  55k  135k|4.0   0  13
29-08 08:30:36|  2  19  80   0   0   0| 123M 19.1M  251M 3435M| 2080  17020 |   0    56k|   0     4 |1380B   20k|  9  10   0   2   0|178  16  12   0   0|  59k  143k|1.0   0 5.0
29-08 08:30:37|  2  20  78   0   0   0| 123M 19.1M  251M 3435M| 2080  17020 |   0     0 |   0     0 |1122B   18k|  9  10   0   2   0|178  16  12   0   0|  59k  143k|2.0   0 5.0
29-08 08:30:38|  2  18  80   0   0   0| 123M 19.1M  251M 3435M| 2080  17020 |   0     0 |   0     0 |1248B   20k|  9  10   0   2   0|178  16  12   0   0|  59k  143k|2.0   0 5.0
29-08 08:30:39|  0  21  79   0   0   0| 123M 19.1M  251M 3435M| 2080  17020 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|2.0   0 5.0
29-08 08:30:40|  2  17  81   0   0   0| 123M 19.1M  251M 3435M| 2080  17020 |   0     0 |   0     0 |1351B   19k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|3.0   0 5.0
29-08 08:30:41|  1  22  76   0   0   0| 123M 19.1M  251M 3435M| 2112  17031 |   0    32k|   0     4 |1494B   20k|  9  10   0   1   0|178  16  12   0   0|  58k  142k|1.0   0  18
29-08 08:30:42|  3  20  77   0   0   0| 123M 19.1M  251M 3435M| 2112  17033 |   0     0 |   0     0 |1370B   18k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|5.0   0 5.0
29-08 08:30:43|  2  17  81   0   0   0| 123M 19.1M  251M 3435M| 2112  17035 |   0     0 |   0     0 |1320B   20k|  9  10   0   1   0|178  16  12   0   0|  59k  143k|4.0   0 8.0
