"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","sensor",,,,"User:","root"
"Cmdline:","dstat -t --cpu --mem --fs -d --disk-tps -n --tcp --socket -y -p -N eth0 --output 2022-08-29-08-43-00-log.csv 1 600",,,,"Date:","29 Aug 2022 08:43:00 CEST"

"system","total cpu usage",,,,,,"memory usage",,,,"filesystem",,"dsk/total",,"dsk/total",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"system",,"procs",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","files","inodes","read","writ","reads","writs","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","int","csw","run","blk","new"
29-08 08:43:00,5.316,17.837,75.891,0.848,0.0,0.109,129028096.0,19718144.0,262975488.0,3602542592.0,2048.0,16962.0,3263081.601,4676.904,70.477,0.717,0.0,0.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,35179.680,97018.917,0.008,0.0,10.728
29-08 08:43:01,9.971,21.408,68.622,0.0,0.0,0.0,132067328.0,19718144.0,262991872.0,3599486976.0,2048.0,16960.0,8192.0,0.0,2.0,0.0,1596.0,17081.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,40798.0,121579.0,5.0,0.0,22.0
29-08 08:43:02,1.429,22.286,76.286,0.0,0.0,0.0,132034560.0,19718144.0,262991872.0,3599519744.0,2048.0,16960.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43726.0,127879.0,6.0,0.0,5.0
29-08 08:43:03,2.432,18.237,79.331,0.0,0.0,0.0,132059136.0,19718144.0,262991872.0,3599495168.0,2048.0,16975.0,0.0,0.0,0.0,0.0,1502.0,21352.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43840.0,128000.0,5.0,0.0,8.0
29-08 08:43:04,1.807,16.867,81.325,0.0,0.0,0.0,132022272.0,19718144.0,262995968.0,3599527936.0,2048.0,16977.0,0.0,0.0,0.0,0.0,1122.0,18795.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43725.0,127386.0,9.0,0.0,3.0
29-08 08:43:05,0.568,23.295,76.136,0.0,0.0,0.0,132055040.0,19718144.0,262995968.0,3599495168.0,2048.0,16975.0,0.0,0.0,0.0,0.0,1248.0,18865.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,43537.0,126908.0,7.0,0.0,2.0
29-08 08:43:06,2.985,22.388,74.627,0.0,0.0,0.0,132014080.0,19726336.0,262995968.0,3599527936.0,2048.0,16975.0,0.0,81920.0,0.0,4.0,1355.0,20092.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,58259.0,142683.0,1.0,0.0,5.0
29-08 08:43:07,2.006,24.355,73.639,0.0,0.0,0.0,131796992.0,19726336.0,262995968.0,3599745024.0,2080.0,16992.0,0.0,0.0,0.0,0.0,1279.0,19861.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,49262.0,132962.0,3.0,0.0,10.0
29-08 08:43:08,2.687,17.910,79.403,0.0,0.0,0.0,131760128.0,19726336.0,263000064.0,3599777792.0,2080.0,16989.0,0.0,0.0,0.0,0.0,1254.0,20923.0,9.0,10.0,0.0,1.0,0.0,178.0,16.0,12.0,0.0,0.0,44493.0,128200.0,4.0,0.0,5.0
