[7l----system---- ----total-cpu-usage---- ------memory-usage----- --filesystem- -dsk/total- -dsk/total- --net/eth0- ----tcp-sockets---- ------sockets------ ---system-- ---procs---
     time     |usr sys idl wai hiq siq| used  buff  cach  free|files  inodes| read  writ|reads writs| recv  send|lis act syn tim clo|tot tcp udp raw frg| int   csw |run blk new
29-08 08:43:00|  5  18  76   1   0   0| 123M 18.8M  251M 3436M| 2048  16962 |3187k 4677B|  70     1 |   0     0 |  9  10   0   1   0|178  16  12   0   0|  35k   97k|0.0   0  11
29-08 08:43:01| 10  21  69   0   0   0| 126M 18.8M  251M 3433M| 2048  16960 |8192B    0 |   2     0 |1596B   17k|  9  10   0   1   0|178  16  12   0   0|  41k  122k|5.0   0  22
29-08 08:43:02|  1  22  76   0   0   0| 126M 18.8M  251M 3433M| 2048  16960 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|6.0   0 5.0
29-08 08:43:03|  2  18  79   0   0   0| 126M 18.8M  251M 3433M| 2048  16975 |   0     0 |   0     0 |1502B   21k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|5.0   0 8.0
29-08 08:43:04|  2  17  81   0   0   0| 126M 18.8M  251M 3433M| 2048  16977 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  44k  127k|9.0   0 3.0
29-08 08:43:05|  1  23  76   0   0   0| 126M 18.8M  251M 3433M| 2048  16975 |   0     0 |   0     0 |1248B   18k|  9  10   0   1   0|178  16  12   0   0|  44k  127k|7.0   0 2.0
29-08 08:43:06|  3  22  75   0   0   0| 126M 18.8M  251M 3433M| 2048  16975 |   0    80k|   0     4 |1355B   20k|  9  10   0   1   0|178  16  12   0   0|  58k  143k|1.0   0 5.0
29-08 08:43:07|  2  24  74   0   0   0| 126M 18.8M  251M 3433M| 2080  16992 |   0     0 |   0     0 |1279B   19k|  9  10   0   1   0|178  16  12   0   0|  49k  133k|3.0   0  10
29-08 08:43:08|  3  18  79   0   0   0| 126M 18.8M  251M 3433M| 2080  16989 |   0     0 |   0     0 |1254B   20k|  9  10   0   1   0|178  16  12   0   0|  44k  128k|4.0   0 5.0
29-08 08:43:09|  2  19  79   0   0   0| 126M 18.8M  251M 3433M| 2080  16989 |   0     0 |   0     0 |1248B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  142k|2.0   0 5.0
29-08 08:43:10| 10  23  67   0   0   0| 126M 18.8M  251M 3432M| 2048  16986 | 528k    0 |   8     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  50k  133k|1.0   0 7.0
29-08 08:43:11|  7  19  73   0   0   0| 126M 18.8M  251M 3432M| 2080  16982 |   0    32k|   0     4 |1308B   16k|  9  10   0   1   0|178  16  12   0   0|  52k  135k|3.0   0  13
29-08 08:43:12|  2  21  77   0   0   0| 126M 18.8M  251M 3432M| 2080  16982 |   0     0 |   0     0 |1122B   18k|  9  10   0   1   0|178  16  12   0   0|  58k  142k|1.0   0 5.0
29-08 08:43:13|  1  18  80   0   0   0| 126M 18.8M  251M 3432M| 2112  16982 |   0     0 |   0     0 |1248B   20k|  9  10   0   1   0|178  16  12   0   0|  49k  132k|2.0   0 5.0
29-08 08:43:14|  2  17  81   0   0   0| 126M 18.8M  251M 3432M| 2112  16982 |   0     0 |   0     0 |1188B   18k|  9  10   0   1   0|178  16  12   0   0|  43k  127k|4.0   0 5.0
29-08 08:43:15|  1  20  78   0   0   0| 126M 18.8M  251M 3432M| 2112  16982 |   0     0 |   0     0 |1338B   19k|  9  10   0   1   0|178  16  12   0   0|  43k  126k|4.0   0 9.0
29-08 08:43:16|  2  18  80   0   0   0| 126M 18.8M  251M 3432M| 2112  16982 |   0    32k|   0     4 |1278B   20k|  9  10   0   1   0|178  16  12   0   0|  44k  127k|1.0   0 9.0
29-08 08:43:17|  2  18  79   0   0   0| 126M 18.8M  251M 3432M| 2080  16987 |   0     0 |   0     0 |1408B   19k|  9  10   0   1   0|178  16  12   0   0|  43k  126k|6.0   0  10
29-08 08:43:18|  2  17  81   0   0   0| 126M 18.8M  251M 3432M| 2080  16987 |   0     0 |   0     0 |1122B   19k|  9  10   0   1   0|178  16  12   0   0|  36k  119k|  0   0 5.0
